Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#37 - 1HIOC	superfamily	329044	1	93	1.88094e-64	190.501	cl23735	H4 superfamily	N	 - 
Q#38 - 1HIOD	specific	185397	1	74	3.84953e-42	132.17	PTZ00015	PTZ00015	N	cl29688
Q#39 - 1HQ3A	specific	185399	1	129	2.45982e-71	209.216	PTZ00017	PTZ00017	 - 	cl30549
Q#40 - 1HQ3B	specific	197718	36	124	5.48678e-52	159.219	smart00427	H2B	 - 	cl23830
Q#41 - 1HQ3C	specific	185400	1	136	3.04861e-90	257.526	PTZ00018	PTZ00018	 - 	cl23735
Q#42 - 1HQ3D	specific	177669	1	103	4.32773e-54	163.465	PLN00035	PLN00035	 - 	cl29687
Q#43 - 1HQ3E	specific	185399	1	129	2.45982e-71	209.216	PTZ00017	PTZ00017	 - 	cl30549
Q#44 - 1HQ3F	specific	197718	36	124	5.48678e-52	159.219	smart00427	H2B	 - 	cl23830
Q#45 - 1HQ3G	specific	185400	1	136	3.04861e-90	257.526	PTZ00018	PTZ00018	 - 	cl23735
Q#46 - 1HQ3H	specific	177669	1	103	4.32773e-54	163.465	PLN00035	PLN00035	 - 	cl29687
Q#47 - 1HSTA	specific	238028	4	90	1.48647e-30	103.085	cd00073	H15	 - 	cl00073
Q#48 - 1HSTB	specific	238028	4	90	1.48647e-30	103.085	cd00073	H15	 - 	cl00073
Q#49 - 1ID3A	specific	185400	1	135	3.62879e-79	229.406	PTZ00018	PTZ00018	 - 	cl23735
Q#50 - 1ID3B	specific	185397	17	100	2.12401e-45	141.415	PTZ00015	PTZ00015	 - 	cl29688
Q#51 - 1ID3C	specific	185399	17	130	1.85865e-68	202.282	PTZ00017	PTZ00017	 - 	cl30549
Q#52 - 1ID3D	specific	197718	30	126	9.51425e-51	156.138	smart00427	H2B	 - 	cl23830
Q#53 - 1ID3E	specific	185400	1	135	3.62879e-79	229.406	PTZ00018	PTZ00018	 - 	cl23735
Q#54 - 1ID3F	specific	185397	17	100	2.12401e-45	141.415	PTZ00015	PTZ00015	 - 	cl29688
Q#55 - 1ID3G	specific	185399	17	130	1.85865e-68	202.282	PTZ00017	PTZ00017	 - 	cl30549
Q#56 - 1ID3H	specific	197718	30	126	9.51425e-51	156.138	smart00427	H2B	 - 	cl23830
Q#59 - 1KNAA	specific	349300	17	65	2.21558e-28	95.4838	cd18653	CD_HP1a_insect	 - 	cl28914
Q#59 - 1KNAA	multi-dom	334050	17	64	7.64977e-15	61.0643	pfam00385	Chromo	 - 	 - 
Q#61 - 1KNEA	specific	349300	17	65	2.21558e-28	95.4838	cd18653	CD_HP1a_insect	 - 	cl28914
Q#61 - 1KNEA	multi-dom	334050	17	64	7.64977e-15	61.0643	pfam00385	Chromo	 - 	 - 
Q#63 - 1KU5A	specific	224947	2	69	5.83172e-24	85.4575	COG2036	HHT1	 - 	cl23735
Q#64 - 1KU5B	specific	224947	2	69	5.83172e-24	85.4575	COG2036	HHT1	 - 	cl23735
Q#65 - 1KX3A	specific	185400	1	135	1.39562e-87	250.592	PTZ00018	PTZ00018	 - 	cl23735
Q#66 - 1KX3B	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#67 - 1KX3C	specific	238029	5	117	4.10107e-69	202.95	cd00074	H2A	 - 	cl30546
Q#68 - 1KX3D	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#69 - 1KX3E	specific	185400	1	135	1.39562e-87	250.592	PTZ00018	PTZ00018	 - 	cl23735
Q#70 - 1KX3F	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#71 - 1KX3G	specific	238029	5	117	4.10107e-69	202.95	cd00074	H2A	 - 	cl30546
Q#72 - 1KX3H	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#75 - 1KX4A	specific	185400	1	135	1.39562e-87	250.592	PTZ00018	PTZ00018	 - 	cl23735
Q#76 - 1KX4B	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#77 - 1KX4C	specific	238029	5	117	4.10107e-69	202.95	cd00074	H2A	 - 	cl30546
Q#78 - 1KX4D	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#79 - 1KX4E	specific	185400	1	135	1.39562e-87	250.592	PTZ00018	PTZ00018	 - 	cl23735
Q#80 - 1KX4F	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#81 - 1KX4G	specific	238029	5	117	4.10107e-69	202.95	cd00074	H2A	 - 	cl30546
Q#82 - 1KX4H	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#85 - 1KX5A	specific	185400	1	135	1.39562e-87	250.592	PTZ00018	PTZ00018	 - 	cl23735
Q#86 - 1KX5B	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#87 - 1KX5C	specific	238029	5	117	4.10107e-69	202.95	cd00074	H2A	 - 	cl30546
Q#88 - 1KX5D	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#89 - 1KX5E	specific	185400	1	135	1.39562e-87	250.592	PTZ00018	PTZ00018	 - 	cl23735
Q#90 - 1KX5F	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#91 - 1KX5G	specific	238029	5	117	4.10107e-69	202.95	cd00074	H2A	 - 	cl30546
Q#92 - 1KX5H	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#95 - 1M18A	specific	185400	1	135	3.747e-87	249.822	PTZ00018	PTZ00018	 - 	cl23735
Q#96 - 1M18B	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#97 - 1M18C	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#98 - 1M18D	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#99 - 1M18E	specific	185400	1	135	3.747e-87	249.822	PTZ00018	PTZ00018	 - 	cl23735
Q#100 - 1M18F	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#101 - 1M18G	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#102 - 1M18H	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#105 - 1M19A	specific	185400	1	135	3.747e-87	249.822	PTZ00018	PTZ00018	 - 	cl23735
Q#106 - 1M19B	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#107 - 1M19C	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#108 - 1M19D	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#109 - 1M19E	specific	185400	1	135	3.747e-87	249.822	PTZ00018	PTZ00018	 - 	cl23735
Q#110 - 1M19F	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#111 - 1M19G	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#112 - 1M19H	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#115 - 1M1AA	specific	185400	1	135	3.747e-87	249.822	PTZ00018	PTZ00018	 - 	cl23735
Q#116 - 1M1AB	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#117 - 1M1AC	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#118 - 1M1AD	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#119 - 1M1AE	specific	185400	1	135	3.747e-87	249.822	PTZ00018	PTZ00018	 - 	cl23735
Q#120 - 1M1AF	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#121 - 1M1AG	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#122 - 1M1AH	specific	197718	27	123	9.5358e-54	163.457	smart00427	H2B	 - 	cl23830
Q#125 - 1M1DA	specific	173926	50	110	2.08065e-06	43.0333	cd04301	NAT_SF	 - 	cl17182
Q#126 - 1M1DB	superfamily	329044	1	20	0.000577222	32.9545	cl23735	H4 superfamily	C	 - 
Q#127 - 1M1DC	specific	173926	50	110	2.08065e-06	43.0333	cd04301	NAT_SF	 - 	cl17182
Q#128 - 1M1DD	superfamily	329044	1	20	0.000577222	32.9545	cl23735	H4 superfamily	C	 - 
Q#129 - 1O9SA	specific	214614	119	235	6.59224e-12	60.8111	smart00317	SET	 - 	cl02566
Q#130 - 1O9SB	specific	214614	119	235	6.59224e-12	60.8111	smart00317	SET	 - 	cl02566
Q#133 - 1P34A	specific	185400	1	135	1.67217e-84	242.888	PTZ00018	PTZ00018	 - 	cl23735
Q#134 - 1P34B	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#135 - 1P34C	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#136 - 1P34D	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#137 - 1P34E	specific	185400	1	135	1.67217e-84	242.888	PTZ00018	PTZ00018	 - 	cl23735
Q#138 - 1P34F	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#139 - 1P34G	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#140 - 1P34H	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#143 - 1P3AA	specific	185400	1	135	3.92882e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#144 - 1P3AB	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#145 - 1P3AC	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#146 - 1P3AD	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#147 - 1P3AE	specific	185400	1	135	3.92882e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#148 - 1P3AF	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#149 - 1P3AG	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#150 - 1P3AH	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#153 - 1P3BA	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#154 - 1P3BB	specific	177669	1	102	7.04533e-53	160.383	PLN00035	PLN00035	 - 	cl29687
Q#155 - 1P3BC	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#156 - 1P3BD	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#157 - 1P3BE	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#158 - 1P3BF	specific	177669	1	102	7.04533e-53	160.383	PLN00035	PLN00035	 - 	cl29687
Q#159 - 1P3BG	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#160 - 1P3BH	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#163 - 1P3FA	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#164 - 1P3FB	specific	177669	1	102	4.07065e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#165 - 1P3FC	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#166 - 1P3FD	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#167 - 1P3FE	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#168 - 1P3FF	specific	177669	1	102	4.07065e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#169 - 1P3FG	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#170 - 1P3FH	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#173 - 1P3GA	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#174 - 1P3GB	specific	177669	1	102	4.34763e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#175 - 1P3GC	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#176 - 1P3GD	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#177 - 1P3GE	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#178 - 1P3GF	specific	177669	1	102	4.34763e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#179 - 1P3GG	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#180 - 1P3GH	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#183 - 1P3IA	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#184 - 1P3IB	specific	177669	1	102	4.02624e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#185 - 1P3IC	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#186 - 1P3ID	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#187 - 1P3IE	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#188 - 1P3IF	specific	177669	1	102	4.02624e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#189 - 1P3IG	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#190 - 1P3IH	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#193 - 1P3KA	specific	185400	1	135	3.80775e-84	242.118	PTZ00018	PTZ00018	 - 	cl23735
Q#194 - 1P3KB	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#195 - 1P3KC	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#196 - 1P3KD	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#197 - 1P3KE	specific	185400	1	135	3.80775e-84	242.118	PTZ00018	PTZ00018	 - 	cl23735
Q#198 - 1P3KF	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#199 - 1P3KG	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#200 - 1P3KH	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#203 - 1P3LA	specific	185400	1	135	2.50953e-84	242.503	PTZ00018	PTZ00018	 - 	cl23735
Q#204 - 1P3LB	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#205 - 1P3LC	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#206 - 1P3LD	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#207 - 1P3LE	specific	185400	1	135	2.50953e-84	242.503	PTZ00018	PTZ00018	 - 	cl23735
Q#208 - 1P3LF	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#209 - 1P3LG	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#210 - 1P3LH	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#213 - 1P3MA	specific	185400	1	135	1.76647e-84	242.888	PTZ00018	PTZ00018	 - 	cl23735
Q#214 - 1P3MB	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#215 - 1P3MC	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#216 - 1P3MD	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#217 - 1P3ME	specific	185400	1	135	1.76647e-84	242.888	PTZ00018	PTZ00018	 - 	cl23735
Q#218 - 1P3MF	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#219 - 1P3MG	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#220 - 1P3MH	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#223 - 1P3OA	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#224 - 1P3OB	specific	177669	1	102	1.27407e-52	159.613	PLN00035	PLN00035	 - 	cl29687
Q#225 - 1P3OC	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#226 - 1P3OD	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#227 - 1P3OE	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#228 - 1P3OF	specific	177669	1	102	1.27407e-52	159.613	PLN00035	PLN00035	 - 	cl29687
Q#229 - 1P3OG	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#230 - 1P3OH	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#233 - 1P3PA	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#234 - 1P3PB	specific	177669	1	102	6.59649e-53	160.383	PLN00035	PLN00035	 - 	cl29687
Q#235 - 1P3PC	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#236 - 1P3PD	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#237 - 1P3PE	specific	185400	1	135	4.10509e-85	244.429	PTZ00018	PTZ00018	 - 	cl23735
Q#238 - 1P3PF	specific	177669	1	102	6.59649e-53	160.383	PLN00035	PLN00035	 - 	cl29687
Q#239 - 1P3PG	specific	185399	1	129	2.60078e-69	204.208	PTZ00017	PTZ00017	 - 	cl30549
Q#240 - 1P3PH	specific	197718	27	123	1.22713e-53	163.071	smart00427	H2B	 - 	cl23830
Q#243 - 1PDQA	specific	349291	18	71	4.65113e-27	92.5276	cd18644	CD_polycomb	 - 	cl28914
Q#243 - 1PDQA	multi-dom	214605	20	72	3.45028e-11	52.216	smart00298	CHROMO	 - 	 - 
Q#245 - 1PEGA	specific	214614	133	267	4.06531e-31	112.813	smart00317	SET	 - 	cl02566
Q#245 - 1PEGA	superfamily	351831	9	116	8.06767e-07	46.2553	cl02622	Pre-SET superfamily	 - 	 - 
Q#245 - 1PEGA	multi-dom	335991	10	125	1.517e-17	76.3021	pfam05033	Pre-SET	 - 	 - 
Q#246 - 1PEGB	specific	214614	133	267	4.06531e-31	112.813	smart00317	SET	 - 	cl02566
Q#246 - 1PEGB	superfamily	351831	9	116	8.06767e-07	46.2553	cl02622	Pre-SET superfamily	 - 	 - 
Q#246 - 1PEGB	multi-dom	335991	10	125	1.517e-17	76.3021	pfam05033	Pre-SET	 - 	 - 
Q#249 - 1PFBA	specific	349291	1	54	4.96321e-26	89.0608	cd18644	CD_polycomb	 - 	cl28914
Q#249 - 1PFBA	multi-dom	334050	4	52	9.78501e-11	50.2788	pfam00385	Chromo	 - 	 - 
Q#251 - 1PU9A	specific	173926	50	110	2.08065e-06	43.0333	cd04301	NAT_SF	 - 	cl17182
Q#252 - 1PU9B	superfamily	329044	1	19	0.000701711	32.5693	cl23735	H4 superfamily	C	 - 
Q#253 - 1PUAA	specific	173926	50	110	2.08065e-06	43.0333	cd04301	NAT_SF	 - 	cl17182
Q#254 - 1PUAB	superfamily	329044	1	19	0.00329453	30.6433	cl23735	H4 superfamily	C	 - 
Q#255 - 1Q1AA	specific	238699	22	273	1.22919e-136	385.061	cd01408	SIRT1	 - 	cl00195
Q#257 - 1Q2CA	specific	173926	49	109	1.92331e-06	43.0333	cd04301	NAT_SF	 - 	cl17182
Q#259 - 1Q3LA	specific	349300	17	65	2.21558e-28	95.4838	cd18653	CD_HP1a_insect	 - 	cl28914
Q#259 - 1Q3LA	multi-dom	334050	17	64	7.64977e-15	61.0643	pfam00385	Chromo	 - 	 - 
Q#261 - 1QSNA	specific	173926	49	109	1.92331e-06	43.0333	cd04301	NAT_SF	 - 	cl17182
Q#263 - 1S32A	specific	185400	1	135	1.39562e-87	250.592	PTZ00018	PTZ00018	 - 	cl23735
Q#264 - 1S32B	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#265 - 1S32C	specific	238029	5	119	4.35931e-70	204.876	cd00074	H2A	 - 	cl30546
Q#266 - 1S32D	specific	197718	24	120	9.24916e-53	160.76	smart00427	H2B	 - 	cl23830
Q#267 - 1S32E	specific	185400	1	135	1.39562e-87	250.592	PTZ00018	PTZ00018	 - 	cl23735
Q#268 - 1S32F	specific	177669	1	102	3.85336e-53	161.154	PLN00035	PLN00035	 - 	cl29687
Q#269 - 1S32G	specific	238029	5	119	4.35931e-70	204.876	cd00074	H2A	 - 	cl30546
Q#270 - 1S32H	specific	197718	24	120	9.24916e-53	160.76	smart00427	H2B	 - 	cl23830
Q#273 - 1S5PA	specific	234777	2	232	1.41173e-135	380.294	PRK00481	PRK00481	 - 	cl00195
Q#275 - 1SZCA	specific	238699	29	280	4.39564e-137	386.602	cd01408	SIRT1	 - 	cl00195
Q#277 - 1SZDA	specific	238699	29	280	4.39564e-137	386.602	cd01408	SIRT1	 - 	cl00195
Q#279 - 1TZYA	specific	185399	1	129	2.45982e-71	209.216	PTZ00017	PTZ00017	 - 	cl30549
Q#280 - 1TZYB	specific	197718	36	124	5.48678e-52	159.219	smart00427	H2B	 - 	cl23830
Q#281 - 1TZYC	specific	185400	1	136	3.04861e-90	257.526	PTZ00018	PTZ00018	 - 	cl23735
Q#282 - 1TZYD	specific	177669	1	103	4.32773e-54	163.465	PLN00035	PLN00035	 - 	cl29687
Q#283 - 1TZYE	specific	185399	1	129	2.45982e-71	209.216	PTZ00017	PTZ00017	 - 	cl30549
Q#284 - 1TZYF	specific	197718	36	124	5.48678e-52	159.219	smart00427	H2B	 - 	cl23830
Q#285 - 1TZYG	specific	185400	1	136	3.04861e-90	257.526	PTZ00018	PTZ00018	 - 	cl23735
Q#286 - 1TZYH	specific	177669	1	103	4.32773e-54	163.465	PLN00035	PLN00035	 - 	cl29687
Q#287 - 1U35A	specific	185400	1	136	1.74192e-90	258.296	PTZ00018	PTZ00018	 - 	cl23735
Q#288 - 1U35B	specific	177669	1	103	4.32773e-54	163.465	PLN00035	PLN00035	 - 	cl29687
Q#289 - 1U35C	specific	238029	5	117	2.49938e-66	195.632	cd00074	H2A	 - 	cl30546
Q#290 - 1U35D	superfamily	355063	12	125	8.02464e-51	156.774	cl23830	H2B superfamily	 - 	 - 
Q#291 - 1U35E	specific	185400	1	136	1.74192e-90	258.296	PTZ00018	PTZ00018	 - 	cl23735
Q#292 - 1U35F	specific	177669	1	103	4.32773e-54	163.465	PLN00035	PLN00035	 - 	cl29687
Q#293 - 1U35G	specific	238029	5	117	2.49938e-66	195.632	cd00074	H2A	 - 	cl30546
Q#294 - 1U35H	superfamily	355063	12	125	8.02464e-51	156.774	cl23830	H2B superfamily	 - 	 - 
Q#297 - 1USSA	specific	334135	9	80	2.15509e-19	74.0673	pfam00538	Linker_histone	 - 	cl00073
Q#298 - 1USTA	specific	334135	7	79	1.07134e-25	90.2457	pfam00538	Linker_histone	 - 	cl00073
Q#299 - 1YD9A	specific	239232	4	185	7.65169e-120	336.821	cd02904	Macro_H2A_like	 - 	cl00019
