pdb	source_chain	source_UNIPROT	source_name	target_chain	target_UNIPROT	target_name	type	unqiue_PDB_interfaces	source_uique_occurences	normalized_interface_atomic_contacts
5kgf	M	P0CG47	Polyubiquitin-B	L	Q12888	TP53-binding protein 1		1	2	
4zux	X	P0CG47	Polyubiquitin-B	U	P50102	Ubiquitin carboxyl-terminal hydrolase 8		1	2	
5gtc	K	Q9QR71	Protein ORF73	G	P04908	Histone H2A	hst	1	1	
5gtc	K	Q9QR71	Protein ORF73	H	P06899	Histone H2B.2	hst	1	1	
3mvd	"K, L"	P25171	Regulator of chromosome condensation	"G, C"	Q6AZJ8	Histone H2A	hst	1	1	
3mvd	"K, L"	P25171	Regulator of chromosome condensation	"H, D"	P02281	Histone H2B.2	hst	1	1	
3tu4; 4jjn; 4kud; 4ld9	"K, L; K, L; K, L; K, L"	P06701	Regulatory protein SIR3	"C, G; C, G; C, G; C, G"	P06897	Histone H2A	hst	4	4	
3tu4; 4jjn; 4kud; 4ld9	"K, L; K, L; K, L; K, L"	P06701	Regulatory protein SIR3	"D, H; D, H; D, H; D, H"	P02281	Histone H2B.2	hst	4	4	
3tu4; 4jjn; 4kud; 4ld9	"K, L; K, L; K, L; K, L"	P06701	Regulatory protein SIR3	"A, E; A, E; A, E; A, E"	P84233	Histone H3	hst	4	4	
3tu4; 4jjn; 4kud; 4ld9	"K, L; K, L; K, L; K, L"	P06701	Regulatory protein SIR3	"B, F; B, F; B, F; B, F"	P62799	Histone H4	hst	4	4	
6etx	"C, E, E"	Q9Y265	RuvB-like 1	"A, A, C"	Q9Y265	RuvB-like 1		1	1	
6etx	"C, E"	Q9Y265	RuvB-like 1	"B, D"	Q9Y230	RuvB-like 2		1	1	
6etx	"B, D, F, F"	Q9Y230	RuvB-like 2	"A, C, A, E"	Q9Y265	RuvB-like 1		1	1	
6etx	"D, F, F"	Q9Y230	RuvB-like 2	"B, B, D"	Q9Y230	RuvB-like 2		1	1	
6fml	E	G0RYC2	RuvB-like helicase	S	P0C0S9	Histone H2A	hst	1	1	
6fml	E	G0RYC2	RuvB-like helicase	T	P62807	Histone H2B.2	hst	1	1	
6fml	"E, F, F"	G0RYC2	RuvB-like helicase	"D, D, E"	G0RYC2	RuvB-like helicase		1	1	
6fml	"D, D, E, E, F, F, F"	G0RYC2	RuvB-like helicase	"A, C, A, B, A, B, C"	G0RYI5	RuvB-like helicase		1	1	
6fml	"B, C, C"	G0RYI5	RuvB-like helicase	"A, A, B"	G0RYI5	RuvB-like helicase		1	1	
4zux	W	A6ZWK1	SAGA-associated factor 11	C	P06897	Histone H2A	hst	1	1	
4zux	W	A6ZWK1	SAGA-associated factor 11	D	P02281	Histone H2B.2	hst	1	1	
4zux	"b, W"	A6ZWK1	SAGA-associated factor 11	"a, V"	Q6WNK7	Transcription and mRNA export factor SUS1		1	1	
4zux	W	A6ZWK1	SAGA-associated factor 11	U	P50102	Ubiquitin carboxyl-terminal hydrolase 8		1	1	
4zux	"d, Y"	P53165	SAGA-associated factor 73	"b, W"	A6ZWK1	SAGA-associated factor 11		1	1	
4zux	"d, Y"	P53165	SAGA-associated factor 73	"a, V"	Q6WNK7	Transcription and mRNA export factor SUS1		1	1	
4zux	Y	P53165	SAGA-associated factor 73	U	P50102	Ubiquitin carboxyl-terminal hydrolase 8		1	1	
5kgf	"K, L"	Q12888	TP53-binding protein 1	"G, C"	P0C0S8	Histone H2A	hst	1	1	
5kgf	"K, L"	Q12888	TP53-binding protein 1	"H, D"	P62807	Histone H2B.2	hst	1	1	
5kgf	"K, L"	Q12888	TP53-binding protein 1	"F, B"	P62799	Histone H4	hst	1	1	
5kgf	K	Q12888	TP53-binding protein 1	O	P0CG47	Polyubiquitin-B		1	1	
5x0y	O	P22082	Transcription regulatory protein SNF2	A	P84233	Histone H3	hst	1	1	
5x0y	O	P22082	Transcription regulatory protein SNF2	B	P62799	Histone H4	hst	1	1	
4zux	U	P50102	Ubiquitin carboxyl-terminal hydrolase 8	C	P06897	Histone H2A	hst	1	1	
4zux	U	P50102	Ubiquitin carboxyl-terminal hydrolase 8	D	P02281	Histone H2B.2	hst	1	1	
4zux	U	P50102	Ubiquitin carboxyl-terminal hydrolase 8	B	P62799	Histone H4	hst	1	1	
4zux	Z	P50102	Ubiquitin carboxyl-terminal hydrolase 8	c	P0CG47	Polyubiquitin-B		1	1	
4zux	Z	P50102	Ubiquitin carboxyl-terminal hydrolase 8	b	A6ZWK1	SAGA-associated factor 11		1	1	
4zux	Z	P50102	Ubiquitin carboxyl-terminal hydrolase 8	d	P53165	SAGA-associated factor 73		1	1	
4zux	Z	P50102	Ubiquitin carboxyl-terminal hydrolase 8	a	Q6WNK7	Transcription and mRNA export factor SUS1		1	1	
