structureId,chainId,structureTitle,pdbDoi,entityId,ligandId,ligandName,InChI,InChIKey,hetId,IC50,deltaG,uniprotAcc,uniprotRecommendedName,uniprotAlternativeNames
1ID3,D,CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS,10.2210/pdb1id3/pdb,5,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P02294,Histone H2B.2,
1ID3,E,CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS,10.2210/pdb1id3/pdb,2,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P61830,Histone H3,
1ID3,F,CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS,10.2210/pdb1id3/pdb,3,,,,,,,,P02309,Histone H4,
1ID3,G,CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS,10.2210/pdb1id3/pdb,4,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P04911,Histone H2A.1,
1ID3,H,CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS,10.2210/pdb1id3/pdb,5,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P02294,Histone H2B.2,
1ID3,I,CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS,10.2210/pdb1id3/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1ID3,J,CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS,10.2210/pdb1id3/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1KX3,A,"X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution",10.2210/pdb1kx3/pdb,2,,,,,,,,P84233,Histone H3.2,
1KX3,B,"X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution",10.2210/pdb1kx3/pdb,3,,,,,,,,P62799,Histone H4,
1KX3,C,"X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution",10.2210/pdb1kx3/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1KX3,D,"X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution",10.2210/pdb1kx3/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1KX3,E,"X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution",10.2210/pdb1kx3/pdb,2,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P84233,Histone H3.2,
1KX3,F,"X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution",10.2210/pdb1kx3/pdb,3,,,,,,,,P62799,Histone H4,
1KX3,G,"X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution",10.2210/pdb1kx3/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1KX3,H,"X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution",10.2210/pdb1kx3/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1KX3,I,"X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution",10.2210/pdb1kx3/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1KX3,J,"X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution",10.2210/pdb1kx3/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1KX4,A,"X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution",10.2210/pdb1kx4/pdb,2,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P84233,Histone H3.2,
1KX4,A,"X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution",10.2210/pdb1kx4/pdb,2,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P84233,Histone H3.2,
1KX4,B,"X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution",10.2210/pdb1kx4/pdb,3,,,,,,,,P62799,Histone H4,
1KX4,C,"X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution",10.2210/pdb1kx4/pdb,4,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P06897,Histone H2A type 1,
1KX4,D,"X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution",10.2210/pdb1kx4/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1KX4,E,"X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution",10.2210/pdb1kx4/pdb,2,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P84233,Histone H3.2,
1KX4,F,"X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution",10.2210/pdb1kx4/pdb,3,,,,,,,,P62799,Histone H4,
1KX4,G,"X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution",10.2210/pdb1kx4/pdb,4,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P06897,Histone H2A type 1,
1KX4,H,"X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution",10.2210/pdb1kx4/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1KX4,I,"X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution",10.2210/pdb1kx4/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1KX4,J,"X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution",10.2210/pdb1kx4/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1KX5,A,"X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution",10.2210/pdb1kx5/pdb,3,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P84233,Histone H3.2,
1KX5,B,"X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution",10.2210/pdb1kx5/pdb,4,,,,,,,,P62799,Histone H4,
1KX5,C,"X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution",10.2210/pdb1kx5/pdb,5,,,,,,,,P06897,Histone H2A type 1,
1KX5,D,"X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution",10.2210/pdb1kx5/pdb,6,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P02281,Histone H2B 1.1,
1KX5,E,"X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution",10.2210/pdb1kx5/pdb,3,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P84233,Histone H3.2,
1KX5,E,"X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution",10.2210/pdb1kx5/pdb,3,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P84233,Histone H3.2,
1KX5,F,"X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution",10.2210/pdb1kx5/pdb,4,,,,,,,,P62799,Histone H4,
1KX5,G,"X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution",10.2210/pdb1kx5/pdb,5,,,,,,,,P06897,Histone H2A type 1,
1KX5,H,"X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution",10.2210/pdb1kx5/pdb,6,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P02281,Histone H2B 1.1,
1KX5,I,"X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution",10.2210/pdb1kx5/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1KX5,J,"X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution",10.2210/pdb1kx5/pdb,2,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1P34,A,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p34/pdb,2,,,,,,,,P84233,Histone H3.2,
1P34,B,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p34/pdb,3,,,,,,,,P62799,Histone H4,
1P34,C,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p34/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1P34,D,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p34/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1P34,E,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p34/pdb,2,,,,,,,,P84233,Histone H3.2,
1P34,F,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p34/pdb,3,,,,,,,,P62799,Histone H4,
1P34,G,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p34/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1P34,H,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p34/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1P34,I,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p34/pdb,1,,,,,,,,,,
1P34,J,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p34/pdb,1,,,,,,,,,,
1P3A,A,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3a/pdb,2,,,,,,,,P84233,Histone H3.2,
1P3A,B,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3a/pdb,3,,,,,,,,P62799,Histone H4,
1P3A,C,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3a/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1P3A,D,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3a/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1P3A,E,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3a/pdb,2,,,,,,,,P84233,Histone H3.2,
1P3A,F,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3a/pdb,3,,,,,,,,P62799,Histone H4,
1P3A,G,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3a/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1P3A,H,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3a/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1P3A,I,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3a/pdb,1,,,,,,,,,,
1P3A,J,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3a/pdb,1,,,,,,,,,,
1P3B,A,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3b/pdb,2,,,,,,,,P84233,Histone H3.2,
1P3B,B,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3b/pdb,3,,,,,,,,P62799,Histone H4,
1P3B,C,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3b/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1P3B,D,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3b/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1P3B,E,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3b/pdb,2,,,,,,,,P84233,Histone H3.2,
1P3B,F,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3b/pdb,3,,,,,,,,P62799,Histone H4,
1P3B,G,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3b/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1P3B,H,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3b/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1P3B,I,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3b/pdb,1,,,,,,,,,,
1P3B,J,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3b/pdb,1,,,,,,,,,,
1P3F,A,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3f/pdb,2,,,,,,,,P84233,Histone H3.2,
1P3F,B,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3f/pdb,3,,,,,,,,P62799,Histone H4,
1P3F,C,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3f/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1P3F,D,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3f/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1P3F,E,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3f/pdb,2,,,,,,,,P84233,Histone H3.2,
1P3F,F,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3f/pdb,3,,,,,,,,P62799,Histone H4,
1P3F,G,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3f/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1P3F,H,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3f/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1P3F,I,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3f/pdb,1,,,,,,,,,,
1P3F,J,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3f/pdb,1,,,,,,,,,,
1P3G,A,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3g/pdb,2,,,,,,,,P84233,Histone H3.2,
1P3G,B,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3g/pdb,3,,,,,,,,P62799,Histone H4,
1P3G,C,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3g/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1P3G,D,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3g/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1P3G,E,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3g/pdb,2,,,,,,,,P84233,Histone H3.2,
1P3G,F,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3g/pdb,3,,,,,,,,P62799,Histone H4,
1P3G,G,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3g/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1P3G,H,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3g/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1P3G,I,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3g/pdb,1,,,,,,,,,,
1P3G,J,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3g/pdb,1,,,,,,,,,,
1P3I,A,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3i/pdb,2,,,,,,,,P84233,Histone H3.2,
1P3I,B,Crystallographic Studies of Nucleosome Core Particles containing Histone 'Sin' Mutants,10.2210/pdb1p3i/pdb,3,,,,,,,,P62799,Histone H4,
