target_name	target_chain	target_uniprot	target_process	target_function	source_name	source_chain	source_uniprot	source_process	source_function	interface_PDBs	nucleosome/histone	atomic_contacts
h4					TP53-binding protein 1	L	Q12888	NA	NA	5kgf	nucleosome	26
h4					Transcription regulatory protein SNF2	O	P22082	NA	5524#42393	5x0y	nucleosome	211
h4					Ubiquitin carboxyl-terminal hydrolase 8	U	P50102	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	4zux	nucleosome	11
INO80 complex subunit B	R	Q9C086	6281#6310#6338#6351#6355#6974#16579	5515#46872	DNA helicase INO80	G	Q9ULG1	6281#6338#6351	3677#5524#16887	6etx	nucleosome	18
INO80 complex subunit B	R	Q9C086	6281#6310#6338#6351#6355#6974#16579	5515#46872	RuvB-like 1	E	Q9Y265	492#6281#6310#6325#6338#6351#6355#6357#6974#7049#7283#16579#32508#34080#40008#43967#43968#51301#90263#1903508#1904837#1904874	166#1094#3678#3713#4003#4386#5515#5524#16787#16887#17025#43141#43531#45296#51117	6etx	nucleosome	424
INO80 complex subunit B	R	Q9C086	6281#6310#6338#6351#6355#6974#16579	5515#46872	RuvB-like 2	D	Q9Y230	492#6281#6310#6325#6338#6351#6355#6457#6974#32508#34644#35066#40008#43967#43968#45944#71169#71392#71733#71899#90090#1903507#1904874	166#979#980#1094#3678#3714#4003#4386#5515#5524#8013#16787#16887#17025#31490#42802#42803#43141#43531#51082#51117	6etx	nucleosome	562
NA	H	G0RY01	NA	NA	NA	G	NA	6281#6338#6351	3677#5524#16887	6fml	nucleosome	157
NA	H	G0RY01	NA	NA	RuvB-like helicase	D	G0RYC2	492#6281#6325#6338#6351#6355#6357#6364#6974#32508#43486	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	287
NA	H	G0RY01	NA	NA	RuvB-like helicase	C	G0RYI5	492#6281#6325#6338#6351#6355#6357#6974#32508#43044#43486#60303	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	371
NA	J	G0S589	NA	NA	NA	I	G0S590	6338	NA	6fml	nucleosome	1111
NA	J	G0S589	NA	NA	RuvB-like helicase	B	G0RYI5	492#6281#6325#6338#6351#6355#6357#6974#32508#43044#43486#60303	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	131
NA	I	G0S590	6338	NA	RuvB-like helicase	E	G0RYC2	492#6281#6325#6338#6351#6355#6357#6364#6974#32508#43486	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	191
NA	I	G0S590	6338	NA	RuvB-like helicase	B	G0RYI5	492#6281#6325#6338#6351#6355#6357#6974#32508#43044#43486#60303	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	69
NA	E	NA	NA	3677#46982	NA	A	NA	NA	3677#46982	4yhp|4yhz|5gxq	nucleosome	6421
NA	G	NA	6281#6338#6351	3677#5524#16887	RuvB-like helicase	D	G0RYC2	492#6281#6325#6338#6351#6355#6357#6364#6974#32508#43486	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	1969
NA	G	NA	6281#6338#6351	3677#5524#16887	RuvB-like helicase	A	G0RYI5	492#6281#6325#6338#6351#6355#6357#6974#32508#43044#43486#60303	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	2900
P61077:#Ubiquitin-conjugating enzyme E2 D3#Q99496:#E3 ubiquitin-protein ligase RING2	L	P61077#Q99496	122#209#6281#6464#6511#6513#6625#6915#6974#16567#30509#43161#51865#70936#70979#1903955	166#4842#5515#5524#16740#61631	Polycomb complex protein BMI-1	K	P35226	NA	NA	4r8p	nucleosome	1876
Polyubiquitin-B	M	P0CG47	NA	NA	TP53-binding protein 1	L	Q12888	NA	NA	5kgf	nucleosome	123
RuvB-like 1	C	Q9Y265	492#6281#6310#6325#6338#6351#6355#6357#6974#7049#7283#16579#32508#34080#40008#43967#43968#51301#90263#1903508#1904837#1904874	166#1094#3678#3713#4003#4386#5515#5524#16787#16887#17025#43141#43531#45296#51117	RuvB-like 1	A	Q9Y265	492#6281#6310#6325#6338#6351#6355#6357#6974#7049#7283#16579#32508#34080#40008#43967#43968#51301#90263#1903508#1904837#1904874	166#1094#3678#3713#4003#4386#5515#5524#16787#16887#17025#43141#43531#45296#51117	6etx	nucleosome	83
RuvB-like 2	B	Q9Y230	492#6281#6310#6325#6338#6351#6355#6457#6974#32508#34644#35066#40008#43967#43968#45944#71169#71392#71733#71899#90090#1903507#1904874	166#979#980#1094#3678#3714#4003#4386#5515#5524#8013#16787#16887#17025#31490#42802#42803#43141#43531#51082#51117	RuvB-like 1	A	Q9Y265	492#6281#6310#6325#6338#6351#6355#6357#6974#7049#7283#16579#32508#34080#40008#43967#43968#51301#90263#1903508#1904837#1904874	166#1094#3678#3713#4003#4386#5515#5524#16787#16887#17025#43141#43531#45296#51117	6etx	nucleosome	7513
RuvB-like 2	D	Q9Y230	492#6281#6310#6325#6338#6351#6355#6457#6974#32508#34644#35066#40008#43967#43968#45944#71169#71392#71733#71899#90090#1903507#1904874	166#979#980#1094#3678#3714#4003#4386#5515#5524#8013#16787#16887#17025#31490#42802#42803#43141#43531#51082#51117	RuvB-like 2	B	Q9Y230	492#6281#6310#6325#6338#6351#6355#6457#6974#32508#34644#35066#40008#43967#43968#45944#71169#71392#71733#71899#90090#1903507#1904874	166#979#980#1094#3678#3714#4003#4386#5515#5524#8013#16787#16887#17025#31490#42802#42803#43141#43531#51082#51117	6etx	nucleosome	220
RuvB-like helicase	E	G0RYC2	492#6281#6325#6338#6351#6355#6357#6364#6974#32508#43486	166#3678#4386#5515#5524#16787#43140#43141	RuvB-like helicase	D	G0RYC2	492#6281#6325#6338#6351#6355#6357#6364#6974#32508#43486	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	172
RuvB-like helicase	D	G0RYC2	492#6281#6325#6338#6351#6355#6357#6364#6974#32508#43486	166#3678#4386#5515#5524#16787#43140#43141	RuvB-like helicase	A	G0RYI5	492#6281#6325#6338#6351#6355#6357#6974#32508#43044#43486#60303	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	8365
RuvB-like helicase	B	G0RYI5	492#6281#6325#6338#6351#6355#6357#6974#32508#43044#43486#60303	166#3678#4386#5515#5524#16787#43140#43141	RuvB-like helicase	A	G0RYI5	492#6281#6325#6338#6351#6355#6357#6974#32508#43044#43486#60303	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	193
SAGA-associated factor 11	b	A6ZWK1	NA	NA	Transcription and mRNA export factor SUS1	a	Q6WNK7	NA	NA	4zux	nucleosome	723
SAGA-associated factor 73	d	P53165	NA	NA	SAGA-associated factor 11	b	A6ZWK1	NA	NA	4zux	nucleosome	141
SAGA-associated factor 73	d	P53165	NA	NA	Transcription and mRNA export factor SUS1	a	Q6WNK7	NA	NA	4zux	nucleosome	314
Ubiquitin carboxyl-terminal hydrolase 8	Z	P50102	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	Polyubiquitin-B	c	P0CG47	NA	NA	4zux	nucleosome	2028.0
Ubiquitin carboxyl-terminal hydrolase 8	Z	P50102	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	SAGA-associated factor 11	b	A6ZWK1	NA	NA	4zux	nucleosome	1936
Ubiquitin carboxyl-terminal hydrolase 8	Z	P50102	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	SAGA-associated factor 73	d	P53165	NA	NA	4zux	nucleosome	3169
Ubiquitin carboxyl-terminal hydrolase 8	Z	P50102	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	Transcription and mRNA export factor SUS1	a	Q6WNK7	NA	NA	4zux	nucleosome	858
h2a					h2a					1aoi|1zla|1zbb|3tu4|5hq2|1kx3|4zux|5oxv|5oy7|3kwq|5mlu|4ld9|4xzq|5x0x|6fq5	NA	7116
h2a					h2b					1aoi|1p3k|5g2e|5mlu|1kx3|1zbb|1zla|3tu4|4zux|5e5a|5oy7|3kwq|4ld9|6fq5|2fj7|5oxv|5o9g|6fq6|3b6f|5nl0|5x0y|1p3m|4xzq|1kx4|1m18|3b6g|4r8p|1kx5|1p3l|4z66|5f99|3o62|5onw	NA	178477.4
h2a					h3					1eqz|2hio|1hq3|1hio|1tzy	NA	1959
h2a					h4					1eqz|2hio|1hio|1hq3	NA	1397
h2b					h2a					2f8n	NA	10450
h2b					h2b					1eqz|1hq3	NA	392
h2b					h3					3an2	NA	2
h2b					h4					1eqz|2hio|1hio|1hq3	NA	4373
h3					h2a					1aoi|1m18|6fq8|1m19|1m1a	NA	34566
h3					h2b					1aoi	NA	14
h3					h3					1aoi|1m18|1m19|6fq8	NA	19716
h3					h4					1aoi|1m18|6fq8|1m1a	NA	141815
h4					h2a					1aoi|5mlu|1kx3|1p3b|1zbb|1zla|3tu4|4zux|5f99|5oxv|5oy7|1kx5|1m18|1p3f|3kwq|4r8p|1p34|1p3o|1p3a|4ld9|1p3i|5omx|2fj7|4xzq|4z66|6fq8	NA	18682
h4					h2b					1aoi|5mlu|2f8n|4kgc|4ld9|4xzq|4zux|5f99|1kx3|1p3b|1zbb|1zla|5hq2|5oy7|6fq8|3kwq|2fj7|5e5a|5oxv|4z66|6fq5|1p3i|3tu4|1p3f|5onw|3b6g|6esf	NA	43894
h4					h4					2dvq	NA	308
some histone					some histone					1ku5	NA	884
14-3-3 protein zeta/delta	B	P63104	6605#7165#8039#10941#19221#30168#43066#43488#51683#61024#90128#90168#1900740	3723#5515#8134#19901#19904#31625#42802#44325#45296	14-3-3 protein zeta/delta	A	P63104	6605#7165#8039#10941#19221#30168#43066#43488#51683#61024#90128#90168#1900740	3723#5515#8134#19901#19904#31625#42802#44325#45296	2c1j	histone	374.0
B-cell CLL/lymphoma 9 protein	B	O00512	60070	3713#8013	Pygopus homolog 1	A	Q9Y3Y4	NA	NA	2vpg	histone	322
Baculoviral IAP repeat-containing protein 5	B	O15392	6351#6355#6468#6915#7049#7059#7346#7605#8284#9966#10466#16567#19221#31503#42981#43066#45892#51301#90307#1990001	4842#4869#5515#8017#8536#19899#30414#42802#46872#51087	Baculoviral IAP repeat-containing protein 5	A	O15392	6351#6355#6468#6915#7049#7059#7346#7605#8284#9966#10466#16567#19221#31503#42981#43066#45892#51301#90307#1990001	4842#4869#5515#8017#8536#19899#30414#42802#46872#51087	3uee|3uii|3uik	histone	769
Beta-2-microglobulin	B	P61769	1895#1916#2237#2376#2474#2479#2480#2481#2726#6826#6955#10977#19885#32092#33077#33216#42026#42493#43312#44267#45087#45646#46686#48260#50690#50776#55072#60333#71281#71283#1900121#1900122#1900390#1904434#1904437	5515#42802	HLA class I histocompatibility antigen, alpha chain G	A	P17693	NA	NA	1ydp|2d31|2dyp	histone	3749
Bromodomain-containing protein 2	C	P25440	NA	NA	Bromodomain-containing protein 2	A	P25440	NA	NA	2dvq|2e3k	histone	947
Bromodomain-containing protein 4	C	O60885	NA	NA	Bromodomain-containing protein 4	A	O60885	NA	NA	3uw9	histone	179
Bromodomain-containing protein 9	B	Q9H8M2	NA	NA	Bromodomain-containing protein 9	A	Q9H8M2	NA	NA	4yyi|4yyk	histone	254
Chromatin modification-related protein EAF6	F	P47128	6281#6325#6351#6355#6974#16573	4402	Histone acetyltransferase ESA1	E	Q08649	6355#16573	4402	5j9q	histone	5
Chromatin modification-related protein YNG2	H	P38806	NA	NA	Chromatin modification-related protein EAF6	F	P47128	6281#6325#6351#6355#6974#16573	4402	5j9q	histone	257
Chromatin modification-related protein YNG2	H	P38806	NA	NA	Enhancer of polycomb-like protein 1	G	P43572	6357	NA	5j9q	histone	1274
Chromatin modification-related protein YNG2	H	P38806	NA	NA	Histone acetyltransferase ESA1	E	Q08649	6355#16573	4402	5j9q	histone	116.0
Chromobox protein homolog 3	B	Q13185	45892	NA	Chromobox protein homolog 3	A	Q13185	45892	NA	5t1i	histone	300.0
Chromodomain-helicase-DNA-binding protein 1	C	O14646	NA	NA	Chromodomain-helicase-DNA-binding protein 1	A	O14646	NA	NA	2b2t|2b2u|2b2w	histone	3279
DNA (cytosine-5)-methyltransferase 1	C	P26358	NA	NA	Ubiquitin-40S ribosomal protein S27a	B	P62979	NA	NA	5wvo	histone	1080
DNA (cytosine-5)-methyltransferase 1	B	Q9AXT8	NA	3682#8168	DNA (cytosine-5)-methyltransferase 1	A	Q9AXT8	NA	3682#8168	4ft2	histone	218
DNA (cytosine-5)-methyltransferase 3-like	D	Q9UJW3	6306	19899#30234	DNA (cytosine-5)-methyltransferase 3A	C	Q9Y6K1	6306#10468	8168#9008	4u7t	histone	1064
DNA (cytosine-5)-methyltransferase 3A	C	Q9Y6K1	6306#10468	8168#9008	DNA (cytosine-5)-methyltransferase 3A	A	Q9Y6K1	6306#10468	8168#9008	4qbq|4u7t	histone	736
DNA replication licensing factor MCM2	L	P49736	6270#1905775	3677#5524	Histone chaperone ASF1A	I	Q9Y294	6333	NA	5c3i	histone	50
E3 ubiquitin-protein ligase RNF169	C	Q8NCN4	NA	NA	Polyubiquitin-B	B	P0CG47	NA	NA	5vey	histone	1890
Enhancer of polycomb-like protein 1	G	P43572	6357	NA	Chromatin modification-related protein EAF6	F	P47128	6281#6325#6351#6355#6974#16573	4402	5j9q	histone	861
Enhancer of polycomb-like protein 1	G	P43572	6357	NA	Histone acetyltransferase ESA1	E	Q08649	6355#16573	4402	5j9q	histone	2333
h1					Chromobox protein homolog 3	A	Q13185	45892	NA	3tzd	histone	437
h1					Lethal(3)malignant brain tumor-like protein 1	A	Q9Y468	6355	NA	2rhi	histone	10
h2a					Acidic leucine-rich nuclear phosphoprotein 32 family member E	C	Q9BTT0	NA	NA	4cay	histone	271
h2a					E3 ubiquitin-protein ligase RNF169	C	Q8NCN4	NA	NA	5vey	histone	1276
h2a					HAT1-interacting factor 1	B	Q12373	6325#6334#6348#6351#6355#16573	5515#42393#42803	5bt1	histone	257
h2a					Helicase SWR1	C	Q05471	NA	NA	4m6b	histone	598
h2a					Histone acetyltransferase ESA1	E	Q08649	6355#16573	4402	5j9q	histone	171.0
h2a					HLA class I histocompatibility antigen, alpha chain G	A	P17693	NA	NA	1ydp|2dyp|2d31	histone	3587
h2a					Mediator of DNA damage checkpoint protein 1	A	Q14676	NA	NA	2azm	histone	160
h2a					Microcephalin	A	Q8NEM0	NA	NA	3shv|3szm|3u3z	histone	765
h2a					Nucleosome assembly protein	J	P25293	6334	NA	5g2e	histone	208.0
h2a					PAX-interacting protein 1	A	Q6ZW49	NA	NA	3sqd	histone	138
h2a					Peregrin	A	P55201	NA	NA	4qyl	histone	193
h2a					Polyubiquitin-B	B	P0CG47	NA	NA	5vey	histone	229
h2a					Regulator of Ty1 transposition protein 107	B	P38850	NA	NA	3t7k	histone	275
h2a					Sex comb on midleg-like protein 2	A	Q9UQR0	6355	NA	4edu	histone	82
h2a					Speckle-type POZ protein	A	O43791	NA	NA	3ivb	histone	331
h2a					Speckle-type POZ protein	B	Q5NVK7	NA	NA	3hsv	histone	605
h2a					Vacuolar protein sorting-associated protein 72 homolog	I	Q15906	6338#6355#43486	NA	5fug	histone	784
h2a					Vacuolar protein sorting-associated protein 72 homolog	A	Q9VKM6	6338#6355#43486	NA	5chl	histone	1009
h2b					Acidic leucine-rich nuclear phosphoprotein 32 family member E	C	Q9BTT0	NA	NA	4cay	histone	356
h2b					HAT1-interacting factor 1	B	Q12373	6325#6334#6348#6351#6355#16573	5515#42393#42803	5bt1	histone	560
h2b					HLA class II histocompatibility antigen, DR alpha chain	A	P01903	6955#19882	NA	6biy	histone	595
h2b					HLA class II histocompatibility antigen, DRB1-4 beta chain	B	P13760	6955#19882	NA	6biy	histone	815
h2b					N-terminal Xaa-Pro-Lys N-methyltransferase 1	A	Q9BV86	6480#7051#7059#16571#18011#18012#18013#18016#32259#35572#35573	5515#8168#8276#16740#42054#71885	5cve	histone	259
h2b					Nucleosome assembly protein	J	P25293	6334	NA	5g2e	histone	42
h2b					Vacuolar protein sorting-associated protein 72 homolog	I	Q15906	6338#6355#43486	NA	5fug	histone	377
h3					14-3-3 protein zeta/delta	A	P63104	6605#7165#8039#10941#19221#30168#43066#43488#51683#61024#90128#90168#1900740	3723#5515#8134#19901#19904#31625#42802#44325#45296	2c1j|2c1n	histone	423
h3					Baculoviral IAP repeat-containing protein 5	A	O15392	6351#6355#6468#6915#7049#7059#7346#7605#8284#9966#10466#16567#19221#31503#42981#43066#45892#51301#90307#1990001	4842#4869#5515#8017#8536#19899#30414#42802#46872#51087	3uee|3uii|4a0j|4a0n|3uef	histone	1203
h3					Bromodomain adjacent to zinc finger domain protein 2A	A	Q9UIF9	NA	NA	5t8r	histone	306
h3					Bromodomain testis-specific protein	A	Q91Y44	NA	NA	2wp1	histone	100
h3					Bromodomain-containing protein 3	A	Q15059	NA	NA	5hjc	histone	121
h3					Bromodomain-containing protein 4	A	O60885	NA	NA	5nnc|5nnd	histone	89
h3					Bromodomain-containing protein 4	A	Q9ESU6	NA	NA	3jvk|3muk|3mul	histone	79
h3					Chromo domain-containing protein 1	A	Q10103	NA	NA	2rsn	histone	3331
h3					Chromobox protein homolog 1	A	P83916	45892	NA	5t1g	histone	147
h3					Chromobox protein homolog 1	A	P83917	NA	NA	1guw	histone	1752
h3					Chromobox protein homolog 3	B	Q13185	45892	NA	5t1i	histone	721
h3					Chromobox protein homolog 3	A	Q13185	45892	NA	2l11	histone	1328
h3					Chromobox protein homolog 5	A	Q61686	NA	NA	2rvn	histone	494
h3					Chromobox protein homolog 6	A	O95503	NA	NA	3gv6	histone	360
h3					Chromobox protein homolog 7	A	O95931	NA	NA	2l12|2l1b	histone	3741
h3					Chromodomain-helicase-DNA-binding protein 1	A	O14646	NA	NA	2b2t|2b2v|2b2u|2b2w	histone	215
h3					Chromodomain-helicase-DNA-binding protein 4	A	Q14839	NA	NA	2l75	histone	2181
h3					CREB-binding protein	A	Q92793	NA	NA	5gh9	histone	178
h3					Death domain-associated protein 6	C	Q9UER7	NA	NA	4h9n|4h9s|4h9p|5kdm|4hga	histone	8042.0
h3					Death-inducer obliterator 1	A	Q9BTC0	97190	NA	4l7x	histone	1233
h3					DNA (cytosine-5)-methyltransferase 1	C	P26358	NA	NA	5wvo	histone	681
h3					DNA (cytosine-5)-methyltransferase 1	B	Q9AXT8	NA	3682#8168	4ft2	histone	471
h3					DNA (cytosine-5)-methyltransferase 3A	A	Q9Y6K1	6306#10468	9008	4qbq|4qbs|4qbr	histone	579.0
h3					DNA (cytosine-5)-methyltransferase 3A	C	Q9Y6K1	6306#10468	8168#9008	4u7t	histone	748
h3					DNA (cytosine-5)-methyltransferase 3B	A	Q9UBC3	NA	NA	5ciu	histone	112
h3					DNA replication licensing factor MCM2	L	P49736	6270#1905775	3677#5524	5c3i	histone	485
h3					DNA replication licensing factor MCM2	C	P49736	6270#1905775	3677#5524	4uuz	histone	3625
h3					E3 ubiquitin-protein ligase TRIM33	A	Q9UPN9	NA	NA	3u5n|3u5o|5mr8	histone	741
h3					E3 ubiquitin-protein ligase UHRF1	B	Q96T88	NA	NA	3sou|3sow|3zvy	histone	333
h3					E3 ubiquitin-protein ligase UHRF1	A	Q96T88	NA	NA	2l3r	histone	2736
h3					FACT complex subunit SPT16	B	Q9Y5B9	NA	NA	4z2m	histone	285
h3					Hepatoma-derived growth factor-related protein 2	A	Q7Z4V5	NA	NA	3qj6	histone	107
h3					Heterochromatin protein 1	A	P05205	NA	NA	1kna|5kog	histone	1851
h3					Histone acetyltransferase KAT6A	A	Q92794	43966#48513	3713#4402	3v43|4lk9|4llb	histone	7475
h3					Histone acetyltransferase KAT6B	B	Q8WYB5	NA	NA	5u2j	histone	346
h3					Histone acetyltransferase RTT109	A	Q07794	6351#6355#6974#10468#10526#16573#30702#43007#43618#43966#97043#1990414#2001032	4402#5515#10484#16740#32931	3q33	histone	150.0
h3					Histone acetyltransferase type B subunit 2	B	P39984	6325#6333#6348#16573	4402#5515#42393	4psx	histone	428
h3					Histone chaperone ASF1	A	P32447	6333	NA	2hue|4eo5	histone	1668
h3					Histone chaperone ASF1A	I	Q9Y294	6333	NA	5c3i	histone	347
h3					Histone chaperone ASF1A	A	Q9Y294	6333	NA	2io5	histone	431
h3					Histone chaperone ASF1B	D	Q9NVP2	6333	NA	5bnx	histone	832.0
h3					Histone chaperone cia1	B	O74515	6333	NA	2dze	histone	439
