PDB	CHAIN	ORGANISM	PROCESS	FUNCTION	UNIPROT	NAME
1f1e	A	Methanopyrus kandleri	NA	46982	O93641	NA
1f66	I	NA	NA	NA	NA	NA
1f66	J	NA	NA	NA	NA	NA
1f66	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1f66	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1f66	C	Homo sapiens	6342#45944#71392	978#979#980#3677#5515#31490#31492#46982	P0C0S5	Histone H2A.Z
1f66	G	Homo sapiens	6342#45944#71392	978#979#980#3677#5515#31490#31492#46982	P0C0S5	Histone H2A.Z
1f66	B	Mus musculus	6334#6335#6336#6352#45653#51290	3677#5515#19904#42393#46982	P62806	Histone H4
1f66	F	Mus musculus	6334#6335#6336#6352#45653#51290	3677#5515#19904#42393#46982	P62806	Histone H4
1f66	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1f66	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1f68	A	Homo sapiens	NA	4402	Q92830	Histone acetyltransferase KAT2A
1fy7	A	Saccharomyces cerevisiae	6355#16573	4402	Q08649	Histone acetyltransferase ESA1
1g6z	A	Schizosaccharomyces pombe	NA	NA	O60016	Histone-lysine N-methyltransferase, H3 lysine-9 specific
1ghc	A	Gallus gallus	6334	3677	P08287	Histone H1.11L
1guw	B	Mus musculus	NA	NA	P68433	Histone H3.1
1guw	A	Mus musculus	NA	NA	P83917	Chromobox protein homolog 1
1h3i	A	Homo sapiens	6355#34968	18024	Q8WTS6	Histone-lysine N-methyltransferase SETD7
1h3i	B	Homo sapiens	6355#34968	18024	Q8WTS6	Histone-lysine N-methyltransferase SETD7
1h3o	A	Homo sapiens	6352	46982	O00268	Transcription initiation factor TFIID subunit 4
1h3o	C	Homo sapiens	6352	46982	O00268	Transcription initiation factor TFIID subunit 4
1h3o	B	Homo sapiens	6352	46982	Q16514	Transcription initiation factor TFIID subunit 12
1h3o	D	Homo sapiens	6352	46982	Q16514	Transcription initiation factor TFIID subunit 12
1hio	A	Gallus gallus	NA	3677#46982	P02263	Histone H2A-IV
1hio	B	Gallus gallus	NA	3677#46982	P0C1H5	Histone H2B 7
1hio	D	Gallus gallus	6352	3677#46982	P62801	Histone H4
1hio	C	Gallus gallus	NA	3677#46982	P84229	Histone H3.2
1hjz	A	Archaeoglobus fulgidus	NA	16787	O28751	[Protein ADP-ribosylglutamate] hydrolase AF_1521
1hjz	B	Archaeoglobus fulgidus	NA	16787	O28751	[Protein ADP-ribosylglutamate] hydrolase AF_1521
1hnr	A	Escherichia coli	6355	3677	P0ACF8	DNA-binding protein H-NS
1hns	A	Escherichia coli	6355	3677	P0ACF8	DNA-binding protein H-NS
1hq3	A	Gallus gallus	6342	3677#46982	P02263	Histone H2A-IV
1hq3	E	Gallus gallus	6342	3677#46982	P02263	Histone H2A-IV
1hq3	B	Gallus gallus	6334	3677#46982	P0C1H5	Histone H2B 7
1hq3	F	Gallus gallus	6334	3677#46982	P0C1H5	Histone H2B 7
1hq3	D	Gallus gallus	6334#6335#6336#6352#45653#51290	3677#19904#42393#46982	P62801	Histone H4
1hq3	H	Gallus gallus	6334#6335#6336#6352#45653#51290	3677#19904#42393#46982	P62801	Histone H4
1hq3	C	Gallus gallus	122#6334	3677#3682#31492#46982	P84229	Histone H3.2
1hq3	G	Gallus gallus	122#6334	3677#3682#31492#46982	P84229	Histone H3.2
1hst	A	Gallus gallus	6334	3677	P02259	Histone H5
1hst	B	Gallus gallus	6334	3677	P02259	Histone H5
1hta	A	Methanothermus fervidus	6265	3677#3690#42803#46982	P48781	DNA-binding protein HMf-1
1hue	A	Geobacillus stearothermophilus	30261	3677	P0A3H0	DNA-binding protein HU
1hue	B	Geobacillus stearothermophilus	30261	3677	P0A3H0	DNA-binding protein HU
1id3	I	Homo sapiens	NA	NA	NA	NA
1id3	J	Homo sapiens	NA	NA	NA	NA
1id3	D	Saccharomyces cerevisiae	6333	3677#5515#46982	P02294	Histone H2B.2
1id3	H	Saccharomyces cerevisiae	6333	3677#5515#46982	P02294	Histone H2B.2
1id3	B	Saccharomyces cerevisiae	6333#6334#34729#43935#61587	3677#5515#42393#46982	P02309	Histone H4
1id3	F	Saccharomyces cerevisiae	6333#6334#34729#43935#61587	3677#5515#42393#46982	P02309	Histone H4
1id3	C	Saccharomyces cerevisiae	122#6281#6333#6974#61587	3677#5515#46982	P04911	Histone H2A.1
1id3	G	Saccharomyces cerevisiae	122#6281#6333#6974#61587	3677#5515#46982	P04911	Histone H2A.1
1id3	A	Saccharomyces cerevisiae	6333#6334#9303#43935#70911	3677#5515#31492#46982	P61830	Histone H3
1id3	E	Saccharomyces cerevisiae	6333#6334#9303#43935#70911	3677#5515#31492#46982	P61830	Histone H3
1j3c	A	Sus scrofa	NA	NA	P17741	High mobility group protein B2
1j3d	A	Sus scrofa	NA	NA	P17741	High mobility group protein B2
1j3x	A	Sus scrofa	NA	3677	P17741	High mobility group protein B2
1j8f	A	Homo sapiens	NA	8270#17136#70403	Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2
1j8f	B	Homo sapiens	NA	8270#17136#70403	Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2
1j8f	C	Homo sapiens	NA	8270#17136#70403	Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2
1jfi	D	NA	NA	NA	NA	NA
1jfi	E	NA	NA	NA	NA	NA
1jfi	C	Homo sapiens	6352	3677	P20226	TATA-box-binding protein
1jfi	B	Homo sapiens	122#6351#6355#43966	981#3677#3714#5515#8134#17025#46982	Q01658	Protein Dr1
1jfi	A	Homo sapiens	NA	46982	Q14919	Dr1-associated corepressor
1jm4	A	Human immunodeficiency virus 1	NA	NA	P04610	Protein Tat
1jm4	B	Homo sapiens	NA	4402	Q92831	Histone acetyltransferase KAT2B
1ju7	A	NA	NA	NA	NA	NA
1jwc	A	NA	NA	NA	NA	NA
1k5j	A	Xenopus laevis	NA	NA	P05221	Nucleoplasmin
1k5j	B	Xenopus laevis	NA	NA	P05221	Nucleoplasmin
1k5j	C	Xenopus laevis	NA	NA	P05221	Nucleoplasmin
1k5j	D	Xenopus laevis	NA	NA	P05221	Nucleoplasmin
1k5j	E	Xenopus laevis	NA	NA	P05221	Nucleoplasmin
1kks	A	NA	NA	NA	NA	NA
1kna	P	Drosophila melanogaster	NA	NA	P02299	Histone H3
1kna	A	Drosophila melanogaster	NA	NA	P05205	Heterochromatin protein 1
1kne	P	Drosophila melanogaster	NA	NA	P02299	Histone H3
1kne	A	Drosophila melanogaster	NA	NA	P05205	Heterochromatin protein 1
1ku5	A	Pyrococcus horikoshii	NA	3677#46982	O74098	Archaeal histone A
1ku5	B	Pyrococcus horikoshii	NA	3677#46982	O74098	Archaeal histone A
1kx3	I	Homo sapiens	NA	NA	NA	NA
1kx3	J	Homo sapiens	NA	NA	NA	NA
1kx3	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1kx3	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1kx3	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1kx3	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1kx3	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1kx3	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1kx3	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1kx3	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1kx4	I	Homo sapiens	NA	NA	NA	NA
1kx4	J	Homo sapiens	NA	NA	NA	NA
1kx4	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1kx4	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1kx4	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1kx4	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1kx4	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1kx4	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1kx4	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1kx4	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1kx5	I	Homo sapiens	NA	NA	NA	NA
1kx5	J	Homo sapiens	NA	NA	NA	NA
1kx5	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1kx5	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1kx5	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1kx5	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1kx5	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1kx5	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1kx5	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1kx5	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1lr1	A	Escherichia coli	NA	46983	P0ACF8	DNA-binding protein H-NS
1lr1	B	Escherichia coli	NA	46983	P0ACF8	DNA-binding protein H-NS
1m18	I	NA	NA	NA	NA	NA
1m18	J	NA	NA	NA	NA	NA
1m18	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1m18	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1m18	A	Xenopus laevis	NA	3677#46982	P02302	Histone H3.3C
1m18	E	Xenopus laevis	NA	3677#46982	P02302	Histone H3.3C
1m18	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1m18	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1m18	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1m18	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1m19	I	NA	NA	NA	NA	NA
1m19	J	NA	NA	NA	NA	NA
1m19	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1m19	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1m19	A	Xenopus laevis	NA	3677#46982	P02302	Histone H3.3C
1m19	E	Xenopus laevis	NA	3677#46982	P02302	Histone H3.3C
1m19	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1m19	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1m19	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1m19	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1m1a	I	NA	NA	NA	NA	NA
1m1a	J	NA	NA	NA	NA	NA
1m1a	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1m1a	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1m1a	A	Xenopus laevis	NA	3677#46982	P02302	Histone H3.3C
1m1a	E	Xenopus laevis	NA	3677#46982	P02302	Histone H3.3C
1m1a	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1m1a	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1m1a	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1m1a	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1m1d	B	Saccharomyces cerevisiae	NA	3677	P61830	Histone H3
1m1d	D	Saccharomyces cerevisiae	NA	3677	P61830	Histone H3
1m1d	A	Tetrahymena thermophila	NA	4402	Q27198	NA
1m1d	C	Tetrahymena thermophila	NA	4402	Q27198	NA
1mj9	A	Saccharomyces cerevisiae	6355#16573	4402	Q08649	Histone acetyltransferase ESA1
1mja	A	Saccharomyces cerevisiae	6355#16573	4402	Q08649	Histone acetyltransferase ESA1
1mjb	A	Saccharomyces cerevisiae	6355#16573	4402	Q08649	Histone acetyltransferase ESA1
1ml9	A	Neurospora crassa	32259#34968	5515#8168#8270#16740#18024#46872	Q8X225	Histone-lysine N-methyltransferase, H3 lysine-9 specific dim-5
1mt6	A	Homo sapiens	6355#34968	18024	Q8WTS6	Histone-lysine N-methyltransferase SETD7
1muf	A	Homo sapiens	6355#34968	18024	Q8WTS6	Histone-lysine N-methyltransferase SETD7
1mul	A	Escherichia coli	6351#6974#30261	3677#5515#42802	P0ACF0	DNA-binding protein HU-alpha
1mvh	A	Schizosaccharomyces pombe	34968	8270#18024	O60016	Histone-lysine N-methyltransferase, H3 lysine-9 specific
1mvx	A	Schizosaccharomyces pombe	34968	8270#18024	O60016	Histone-lysine N-methyltransferase, H3 lysine-9 specific
1n1j	A	Homo sapiens	6355	43565#46982	P25208	Nuclear transcription factor Y subunit beta
1n1j	B	Homo sapiens	6355	3700#46982	Q13952	Nuclear transcription factor Y subunit gamma
1n3j	A	Paramecium bursaria Chlorella virus 1	32259	8168#42802	O41094	NA
1n3j	B	Paramecium bursaria Chlorella virus 1	32259	8168#42802	O41094	NA
1n6a	A	Homo sapiens	6355#34968	18024	Q8WTS6	Histone-lysine N-methyltransferase SETD7
1n6c	A	Homo sapiens	6355#34968	18024	Q8WTS6	Histone-lysine N-methyltransferase SETD7
1n6j	C	NA	NA	NA	NA	NA
1n6j	D	NA	NA	NA	NA	NA
1n6j	A	Homo sapiens	45944	977#3677#46983	Q02080	Myocyte-specific enhancer factor 2B
1n6j	B	Homo sapiens	45944	977#3677#46983	Q02080	Myocyte-specific enhancer factor 2B
1n6j	G	Homo sapiens	NA	NA	Q9Y6J0	Calcineurin-binding protein cabin-1
1n72	A	Homo sapiens	NA	4402	Q92831	Histone acetyltransferase KAT2B
1ni8	A	Escherichia coli	NA	46983	P0ACF8	DNA-binding protein H-NS
1ni8	B	Escherichia coli	NA	46983	P0ACF8	DNA-binding protein H-NS
1nlq	A	Drosophila melanogaster	NA	NA	Q27415	Nucleoplasmin-like protein
1nlq	B	Drosophila melanogaster	NA	NA	Q27415	Nucleoplasmin-like protein
1nlq	C	Drosophila melanogaster	NA	NA	Q27415	Nucleoplasmin-like protein
1nlq	D	Drosophila melanogaster	NA	NA	Q27415	Nucleoplasmin-like protein
1nlq	E	Drosophila melanogaster	NA	NA	Q27415	Nucleoplasmin-like protein
1nw3	A	Homo sapiens	34729#51726	18024#31151	Q8TEK3	Histone-lysine N-methyltransferase, H3 lysine-79 specific
1o9s	K	Homo sapiens	NA	NA	P68431	Histone H3.1
1o9s	L	Homo sapiens	NA	NA	P68431	Histone H3.1
1o9s	A	Homo sapiens	6355#34968	18024	Q8WTS6	Histone-lysine N-methyltransferase SETD7
1o9s	B	Homo sapiens	6355#34968	18024	Q8WTS6	Histone-lysine N-methyltransferase SETD7
1p34	I	Homo sapiens	NA	NA	NA	NA
1p34	J	Homo sapiens	NA	NA	NA	NA
1p34	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p34	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p34	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p34	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p34	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p34	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p34	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p34	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3a	I	Homo sapiens	NA	NA	NA	NA
1p3a	J	Homo sapiens	NA	NA	NA	NA
1p3a	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3a	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3a	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3a	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3a	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3a	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3a	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3a	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3b	I	Homo sapiens	NA	NA	NA	NA
1p3b	J	Homo sapiens	NA	NA	NA	NA
1p3b	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3b	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3b	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3b	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3b	B	Xenopus laevis	6334	3677#5515#46982	P62799	Histone H4
1p3b	F	Xenopus laevis	6334	3677#5515#46982	P62799	Histone H4
1p3b	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3b	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3f	I	Homo sapiens	NA	NA	NA	NA
1p3f	J	Homo sapiens	NA	NA	NA	NA
1p3f	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3f	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3f	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3f	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3f	B	Xenopus laevis	6334	3677#5515#46982	P62799	Histone H4
1p3f	F	Xenopus laevis	6334	3677#5515#46982	P62799	Histone H4
1p3f	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3f	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3g	I	Homo sapiens	NA	NA	NA	NA
1p3g	J	Homo sapiens	NA	NA	NA	NA
1p3g	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3g	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3g	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3g	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3g	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3g	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3g	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3g	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3i	I	Homo sapiens	NA	NA	NA	NA
1p3i	J	Homo sapiens	NA	NA	NA	NA
1p3i	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3i	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3i	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3i	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3i	B	Xenopus laevis	6334	3677#5515#46982	P62799	Histone H4
1p3i	F	Xenopus laevis	6334	3677#5515#46982	P62799	Histone H4
1p3i	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3i	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3k	I	Homo sapiens	NA	NA	NA	NA
1p3k	J	Homo sapiens	NA	NA	NA	NA
1p3k	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3k	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3k	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3k	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3k	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3k	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3k	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3k	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3l	I	Homo sapiens	NA	NA	NA	NA
1p3l	J	Homo sapiens	NA	NA	NA	NA
1p3l	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3l	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3l	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3l	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3l	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3l	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3l	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3l	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3m	I	Homo sapiens	NA	NA	NA	NA
1p3m	J	Homo sapiens	NA	NA	NA	NA
1p3m	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3m	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3m	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3m	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3m	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3m	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3m	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3m	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3o	I	Homo sapiens	NA	NA	NA	NA
1p3o	J	Homo sapiens	NA	NA	NA	NA
1p3o	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3o	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3o	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3o	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3o	B	Xenopus laevis	6334	3677#5515#46982	P62799	Histone H4
1p3o	F	Xenopus laevis	6334	3677#5515#46982	P62799	Histone H4
1p3o	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3o	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3p	I	Homo sapiens	NA	NA	NA	NA
1p3p	J	Homo sapiens	NA	NA	NA	NA
1p3p	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3p	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
1p3p	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3p	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1p3p	B	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3p	F	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
1p3p	A	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1p3p	E	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
1pdq	B	Drosophila melanogaster	NA	NA	C0HL66	Histone H3.3A
1pdq	A	Drosophila melanogaster	NA	NA	P26017	Polycomb group protein Pc
1peg	P	Kluyveromyces lactis	NA	NA	P61831	Histone H3
1peg	Q	Kluyveromyces lactis	NA	NA	P61831	Histone H3
1peg	A	Neurospora crassa	32259#34968	5515#8168#8270#16740#18024#46872	Q8X225	Histone-lysine N-methyltransferase, H3 lysine-9 specific dim-5
1peg	B	Neurospora crassa	32259#34968	5515#8168#8270#16740#18024#46872	Q8X225	Histone-lysine N-methyltransferase, H3 lysine-9 specific dim-5
1pfb	B	Strongylocentrotus purpuratus	NA	NA	P06352	Histone H3, embryonic
1pfb	A	Drosophila melanogaster	NA	NA	P26017	Polycomb group protein Pc
1pjn	A	Xenopus laevis	NA	NA	P06180	Histone-binding protein N1/N2
