target_name	target_chain	target_UNIPROT	target_pathway	target_function	target_organism	source_name	source_chain	source_UNIPROT	source_pathway	source_function	source_organism	interface_PDB_IDs	type	atomic_count	log(atomic_count)
RuvB-like 1	E	Q9Y265	492#6281#6310#6325#6338#6351#6355#6357#6974#7049#7283#16579#32508#34080#40008#43967#43968#51301#90263#1903508#1904837#1904874	166#1094#3678#3713#4003#4386#5515#5524#16787#16887#17025#43141#43531#45296#51117	Homo sapiens	INO80	R,G,H,G	Q9C086,Q9ULG1,G0RY01,NA	6281#6310#6338#6351#6355#6974#16579,6281#6338#6351,NA,6281#6338#6351	5515#46872,3677#5524#16887,NA,3677#5524#16887	synthetic construct,Homo sapiens,Chaetomium thermophilum,Chaetomium thermophilum	6etx,6etx,6fml,6fml		398	
RuvB-like 1	A	Q9Y265	492#6281#6310#6325#6338#6351#6355#6357#6974#7049#7283#16579#32508#34080#40008#43967#43968#51301#90263#1903508#1904837#1904874	166#1094#3678#3713#4003#4386#5515#5524#16787#16887#17025#43141#43531#45296#51117	Homo sapiens	RuvB-like 2	B,D	Q9Y230,G0RYC2	492#6281#6310#6325#6338#6351#6355#6457#6974#32508#34644#35066#40008#43967#43968#45944#71169#71392#71733#71899#90090#1903507#1904874,492#6281#6325#6338#6351#6355#6357#6364#6974#32508#43486	166#979#980#1094#3678#3714#4003#4386#5515#5524#8013#16787#16887#17025#31490#42802#42803#43141#43531#51082#51117,166#3678#4386#5515#5524#16787#43140#43141	Homo sapiens,Chaetomium thermophilum	6etx,6fml		2321	
RuvB-like 2	E	G0RYC2	492#6281#6325#6338#6351#6355#6357#6364#6974#32508#43486	166#3678#4386#5515#5524#16787#43140#43141	Chaetomium thermophilum	ACTR5	I	G0S590	6338	NA	Chaetomium thermophilum	6fml		54	
RuvB-like 2	D	Q9Y230	492#6281#6310#6325#6338#6351#6355#6457#6974#32508#34644#35066#40008#43967#43968#45944#71169#71392#71733#71899#90090#1903507#1904874	166#979#980#1094#3678#3714#4003#4386#5515#5524#8013#16787#16887#17025#31490#42802#42803#43141#43531#51082#51117	Homo sapiens	INO80	R,G,H,G	Q9C086,Q9ULG1,G0RY01,NA	6281#6310#6338#6351#6355#6974#16579,6281#6338#6351,NA,6281#6338#6351	5515#46872,3677#5524#16887,NA,3677#5524#16887	synthetic construct,Homo sapiens,Chaetomium thermophilum,Chaetomium thermophilum	6etx,6etx,6fml,6fml		286	
SGF11	b	A6ZWK1	NA	NA	Saccharomyces cerevisiae	SGF73	d	P53165,P50102	NA,6351#6355#6508#6511#8380#16578#16579#34729#51568	NA,6351#6355#6508#6511#8380#16578#16579#34729#51568	Saccharomyces cerevisiae,Saccharomyces cerevisiae	4zux,4zux		241.5	
SGF73	d	P53165	NA	NA	Saccharomyces cerevisiae	UBP8	Z	P50102	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	Saccharomyces cerevisiae	4zux		720	
SUS1	a	Q6WNK7	NA	NA	Saccharomyces cerevisiae	SGF11	b	A6ZWK1	NA	NA	Saccharomyces cerevisiae	4zux		219	
SUS1	a	Q6WNK7	NA	NA	Saccharomyces cerevisiae	SGF73	d	P53165	NA	NA	Saccharomyces cerevisiae	4zux		97	
SUS1	a	Q6WNK7	NA	NA	Saccharomyces cerevisiae	UBP8	Z	P50102	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	Saccharomyces cerevisiae	4zux		236	
TP53BP1	L	Q12888	NA	NA	Homo sapiens	Polyubiquitin-B	M	P0CG47	NA	NA	Homo sapiens	5kgf		43	
