structureId	chainId	structureTitle	depositionDate	uniprotAcc	uniprotRecommendedName
1C3S	A	CRYSTAL STRUCTURE OF AN HDAC HOMOLOG COMPLEXED WITH SAHA	1999-07-28	O67135	NA
1CG7	A	HMG PROTEIN NHP6A FROM SACCHAROMYCES CEREVISIAE	1999-03-27	P11632	Non-histone chromosomal protein 6A
1CM0	A	CRYSTAL STRUCTURE OF THE PCAF/COENZYME-A COMPLEX	1999-05-12	Q92831	Histone acetyltransferase KAT2B
1CM0	B	CRYSTAL STRUCTURE OF THE PCAF/COENZYME-A COMPLEX	1999-05-12	Q92831	Histone acetyltransferase KAT2B
1CS9	A	SOLUTION STRUCTURE OF CGGIRGERA IN CONTACT WITH THE MONOCLONAL ANTIBODY MAB 4X11, NMR, 7 STRUCTURES	1999-08-18	NA	NA
1CT6	A	SOLUTION STRUCTURE OF CGGIRGERG IN CONTACT WITH THE MONOCLONAL ANTIBODY MAB 4X11, NMR, 11 STRUCTURES	1999-08-19	NA	NA
1CVQ	A	SOLUTION STRUCTURE OF THE ANALOGUE RETRO-INVERSO MGREGRIGGC IN CONTACT WITH THE MONOCLONAL ANTIBODY MAB 4X11, NMR, 7 STRUCTURES	1999-08-24	NA	NA
1CW8	A	SOLUTION STRUCTURE OF THE ANALOGUE RETRO-INVERSO (mA-R)REGRIGGC IN CONTACT WITH THE MONOCLONAL ANTIBODY MAB 4X11, NMR, 6 STRUCTURES	1999-08-26	NA	NA
1CWZ	A	Solution structure of the analogue retro-inverso (MA-S)REGRIGGC in contact with the monoclonal antibody MAB 4X11, NMR, 7 structures	1999-08-27	NA	NA
1DP7	P	COCRYSTAL STRUCTURE OF RFX-DBD IN COMPLEX WITH ITS COGNATE X-BOX BINDING SITE	1999-12-23	P22670	MHC class II regulatory factor RFX1
1DP7	D	COCRYSTAL STRUCTURE OF RFX-DBD IN COMPLEX WITH ITS COGNATE X-BOX BINDING SITE	1999-12-23	NA	NA
1E6I	A	Bromodomain from GCN5 complexed with acetylated H4 peptide	2000-08-18	Q03330	Histone acetyltransferase GCN5
1E6I	P	Bromodomain from GCN5 complexed with acetylated H4 peptide	2000-08-18	P02309	Histone H4
1EQF	A	CRYSTAL STRUCTURE OF THE DOUBLE BROMODOMAIN MODULE FROM HUMAN TAFII250	2000-04-04	P21675	Transcription initiation factor TFIID subunit 1
1EQZ	A	X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION	2000-04-06	P02263	Histone H2A-IV
1EQZ	E	X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION	2000-04-06	P02263	Histone H2A-IV
1EQZ	B	X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION	2000-04-06	P0C1H5	Histone H2B 7
1EQZ	F	X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION	2000-04-06	P0C1H5	Histone H2B 7
1EQZ	C	X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION	2000-04-06	P84229	Histone H3.2
1EQZ	G	X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION	2000-04-06	P84229	Histone H3.2
1EQZ	D	X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION	2000-04-06	P62801	Histone H4
1EQZ	H	X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION	2000-04-06	P62801	Histone H4
1EQZ	I	X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION	2000-04-06	NA	NA
1EQZ	J	X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION	2000-04-06	NA	NA
1F1E	A	CRYSTAL STRUCTURE OF THE HISTONE FROM METHANOPYRUS KANDLERI	2000-05-18	O93641	NA
1F66	C	2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z	2000-06-20	P0C0S5	Histone H2A.Z
1F66	G	2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z	2000-06-20	P0C0S5	Histone H2A.Z
1F66	D	2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z	2000-06-20	P02281	Histone H2B 1.1
1F66	H	2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z	2000-06-20	P02281	Histone H2B 1.1
1F66	A	2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z	2000-06-20	P84233	Histone H3.2
1F66	E	2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z	2000-06-20	P84233	Histone H3.2
1F66	B	2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z	2000-06-20	P62806	Histone H4
1F66	F	2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z	2000-06-20	P62806	Histone H4
1F66	I	2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z	2000-06-20	NA	NA
1F66	J	2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z	2000-06-20	NA	NA
1F68	A	NMR SOLUTION STRUCTURE OF THE BROMODOMAIN FROM HUMAN GCN5	2000-06-20	Q92830	Histone acetyltransferase KAT2A
1FY7	A	CRYSTAL STRUCTURE OF YEAST ESA1 HISTONE ACETYLTRANSFERASE DOMAIN COMPLEXED WITH COENZYME A	2000-09-28	Q08649	Histone acetyltransferase ESA1
1G6Z	A	SOLUTION STRUCTURE OF THE CLR4 CHROMO DOMAIN	2000-11-08	O60016	Histone-lysine N-methyltransferase, H3 lysine-9 specific
1GHC	A	HOMO-AND HETERONUCLEAR TWO-DIMENSIONAL NMR STUDIES OF THE GLOBULAR DOMAIN OF HISTONE H1: FULL ASSIGNMENT, TERTIARY STRUCTURE, AND COMPARISON WITH THE GLOBULAR DOMAIN OF HISTONE H5	1994-05-16	P08287	Histone H1.11L
1GUW	A	STRUCTURE OF THE CHROMODOMAIN FROM MOUSE HP1beta IN COMPLEX WITH THE LYSINE 9-METHYL HISTONE H3 N-TERMINAL PEPTIDE, NMR, 25 STRUCTURES	2002-02-01	P83917	Chromobox protein homolog 1
1GUW	B	STRUCTURE OF THE CHROMODOMAIN FROM MOUSE HP1beta IN COMPLEX WITH THE LYSINE 9-METHYL HISTONE H3 N-TERMINAL PEPTIDE, NMR, 25 STRUCTURES	2002-02-01	P68433	Histone H3.1
1H3I	A	Crystal structure of the Histone Methyltransferase SET7/9	2002-09-04	Q8WTS6	Histone-lysine N-methyltransferase SETD7
1H3I	B	Crystal structure of the Histone Methyltransferase SET7/9	2002-09-04	Q8WTS6	Histone-lysine N-methyltransferase SETD7
1H3O	B	Crystal Structure of the Human TAF4-TAF12 (TAFII135-TAFII20) Complex	2002-09-12	Q16514	Transcription initiation factor TFIID subunit 12
1H3O	D	Crystal Structure of the Human TAF4-TAF12 (TAFII135-TAFII20) Complex	2002-09-12	Q16514	Transcription initiation factor TFIID subunit 12
1H3O	A	Crystal Structure of the Human TAF4-TAF12 (TAFII135-TAFII20) Complex	2002-09-12	O00268	Transcription initiation factor TFIID subunit 4
1H3O	C	Crystal Structure of the Human TAF4-TAF12 (TAFII135-TAFII20) Complex	2002-09-12	O00268	Transcription initiation factor TFIID subunit 4
1HIO	A	HISTONE OCTAMER (CHICKEN), CHROMOSOMAL PROTEIN, ALPHA CARBONS ONLY	1991-09-19	P02263	Histone H2A-IV
1HIO	B	HISTONE OCTAMER (CHICKEN), CHROMOSOMAL PROTEIN, ALPHA CARBONS ONLY	1991-09-19	P0C1H5	Histone H2B 7
1HIO	C	HISTONE OCTAMER (CHICKEN), CHROMOSOMAL PROTEIN, ALPHA CARBONS ONLY	1991-09-19	P84229	Histone H3.2
1HIO	D	HISTONE OCTAMER (CHICKEN), CHROMOSOMAL PROTEIN, ALPHA CARBONS ONLY	1991-09-19	P62801	Histone H4
1HJZ	A	Crystal structure of AF1521 protein containing a macroH2A domain	2003-03-05	O28751	[Protein ADP-ribosylglutamate] hydrolase AF_1521
1HJZ	B	Crystal structure of AF1521 protein containing a macroH2A domain	2003-03-05	O28751	[Protein ADP-ribosylglutamate] hydrolase AF_1521
1HNR	A	H-NS (DNA-BINDING DOMAIN)	1995-04-06	P0ACF8	DNA-binding protein H-NS
1HNS	A	H-NS (DNA-BINDING DOMAIN)	1995-04-06	P0ACF8	DNA-binding protein H-NS
1HQ3	A	CRYSTAL STRUCTURE OF THE HISTONE-CORE-OCTAMER IN KCL/PHOSPHATE	2000-12-14	P02263	Histone H2A-IV
1HQ3	E	CRYSTAL STRUCTURE OF THE HISTONE-CORE-OCTAMER IN KCL/PHOSPHATE	2000-12-14	P02263	Histone H2A-IV
1HQ3	B	CRYSTAL STRUCTURE OF THE HISTONE-CORE-OCTAMER IN KCL/PHOSPHATE	2000-12-14	P0C1H5	Histone H2B 7
1HQ3	F	CRYSTAL STRUCTURE OF THE HISTONE-CORE-OCTAMER IN KCL/PHOSPHATE	2000-12-14	P0C1H5	Histone H2B 7
1HQ3	C	CRYSTAL STRUCTURE OF THE HISTONE-CORE-OCTAMER IN KCL/PHOSPHATE	2000-12-14	P84229	Histone H3.2
1HQ3	G	CRYSTAL STRUCTURE OF THE HISTONE-CORE-OCTAMER IN KCL/PHOSPHATE	2000-12-14	P84229	Histone H3.2
1HQ3	D	CRYSTAL STRUCTURE OF THE HISTONE-CORE-OCTAMER IN KCL/PHOSPHATE	2000-12-14	P62801	Histone H4
1HQ3	H	CRYSTAL STRUCTURE OF THE HISTONE-CORE-OCTAMER IN KCL/PHOSPHATE	2000-12-14	P62801	Histone H4
1HST	A	CRYSTAL STRUCTURE OF GLOBULAR DOMAIN OF HISTONE H5 AND ITS IMPLICATIONS FOR NUCLEOSOME BINDING	1993-03-30	P02259	Histone H5
1HST	B	CRYSTAL STRUCTURE OF GLOBULAR DOMAIN OF HISTONE H5 AND ITS IMPLICATIONS FOR NUCLEOSOME BINDING	1993-03-30	P02259	Histone H5
1HTA	A	CRYSTAL STRUCTURE OF THE HISTONE HMFA FROM METHANOTHERMUS FERVIDUS	1998-03-18	P48781	DNA-binding protein HMf-1
1HUE	A	HISTONE-LIKE PROTEIN	1995-05-26	P0A3H0	DNA-binding protein HU
1HUE	B	HISTONE-LIKE PROTEIN	1995-05-26	P0A3H0	DNA-binding protein HU
1ID3	C	CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS	2001-04-03	P04911	Histone H2A.1
1ID3	G	CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS	2001-04-03	P04911	Histone H2A.1
1ID3	D	CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS	2001-04-03	P02294	Histone H2B.2
1ID3	H	CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS	2001-04-03	P02294	Histone H2B.2
1ID3	A	CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS	2001-04-03	P61830	Histone H3
1ID3	E	CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS	2001-04-03	P61830	Histone H3
1ID3	B	CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS	2001-04-03	P02309	Histone H4
1ID3	F	CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS	2001-04-03	P02309	Histone H4
1ID3	I	CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS	2001-04-03	NA	NA
1ID3	J	CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS	2001-04-03	NA	NA
1J3C	A	Solution structure of the C-terminal domain of the HMGB2	2003-01-23	P17741	High mobility group protein B2
1J3D	A	Solution structure of the C-terminal domain of the HMGB2	2003-01-23	P17741	High mobility group protein B2
1J3X	A	Solution structure of the N-terminal domain of the HMGB2	2003-02-19	P17741	High mobility group protein B2
1J8F	A	HUMAN SIRT2 HISTONE DEACETYLASE	2001-05-21	Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2
1J8F	B	HUMAN SIRT2 HISTONE DEACETYLASE	2001-05-21	Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2
1J8F	C	HUMAN SIRT2 HISTONE DEACETYLASE	2001-05-21	Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2
1JFI	A	Crystal Structure of the NC2-TBP-DNA Ternary Complex	2001-06-20	Q14919	Dr1-associated corepressor
1JFI	B	Crystal Structure of the NC2-TBP-DNA Ternary Complex	2001-06-20	Q01658	Protein Dr1
1JFI	C	Crystal Structure of the NC2-TBP-DNA Ternary Complex	2001-06-20	P20226	TATA-box-binding protein
1JFI	D	Crystal Structure of the NC2-TBP-DNA Ternary Complex	2001-06-20	NA	NA
1JFI	E	Crystal Structure of the NC2-TBP-DNA Ternary Complex	2001-06-20	NA	NA
1JM4	B	NMR Structure of P/CAF Bromodomain in Complex with HIV-1 Tat Peptide	2001-07-17	Q92831	Histone acetyltransferase KAT2B
1JM4	A	NMR Structure of P/CAF Bromodomain in Complex with HIV-1 Tat Peptide	2001-07-17	P04610	Protein Tat
1JU7	A	NMR Solution Structure of the RNA Hairpin Binding Site for the Histone Stem-loop Binding Protein	2001-08-23	NA	NA
1JWC	A	NMR SOLUTION STRUCTURE OF THE RNA HAIRPIN BINDING SITE FOR THE HISTONE STEM-LOOP BINDING PROTEIN	2001-09-03	NA	NA
1K5J	A	The Crystal Structure of Nucleoplasmin-Core	2001-10-10	P05221	Nucleoplasmin
1K5J	B	The Crystal Structure of Nucleoplasmin-Core	2001-10-10	P05221	Nucleoplasmin
1K5J	C	The Crystal Structure of Nucleoplasmin-Core	2001-10-10	P05221	Nucleoplasmin
1K5J	D	The Crystal Structure of Nucleoplasmin-Core	2001-10-10	P05221	Nucleoplasmin
1K5J	E	The Crystal Structure of Nucleoplasmin-Core	2001-10-10	P05221	Nucleoplasmin
1KKS	A	Structure of the histone mRNA hairpin required for cell cycle regulation of histone gene expression	2001-12-10	NA	NA
1KNA	A	Chromo domain of HP1 complexed with histone H3 tail containing dimethyllysine 9.	2001-12-18	P05205	Heterochromatin protein 1
1KNA	P	Chromo domain of HP1 complexed with histone H3 tail containing dimethyllysine 9.	2001-12-18	P02299	Histone H3
1KNE	A	Chromo domain of HP1 complexed with histone H3 tail containing trimethyllysine 9	2001-12-18	P05205	Heterochromatin protein 1
1KNE	P	Chromo domain of HP1 complexed with histone H3 tail containing trimethyllysine 9	2001-12-18	P02299	Histone H3
1KU5	A	Crystal Structure of recombinant histone HPhA from hyperthermophilic archaeon Pyrococcus horikoshii OT3	2002-01-21	O74098	Archaeal histone A
1KU5	B	Crystal Structure of recombinant histone HPhA from hyperthermophilic archaeon Pyrococcus horikoshii OT3	2002-01-21	O74098	Archaeal histone A
1KX3	C	X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution	2002-01-31	P06897	Histone H2A type 1
1KX3	G	X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution	2002-01-31	P06897	Histone H2A type 1
1KX3	D	X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution	2002-01-31	P02281	Histone H2B 1.1
1KX3	H	X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution	2002-01-31	P02281	Histone H2B 1.1
1KX3	A	X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution	2002-01-31	P84233	Histone H3.2
1KX3	E	X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution	2002-01-31	P84233	Histone H3.2
1KX3	B	X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution	2002-01-31	P62799	Histone H4
1KX3	F	X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution	2002-01-31	P62799	Histone H4
1KX3	I	X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution	2002-01-31	NA	NA
1KX3	J	X-Ray Structure of the Nucleosome Core Particle, NCP146, at 2.0 A Resolution	2002-01-31	NA	NA
1KX4	C	X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution	2002-01-31	P06897	Histone H2A type 1
1KX4	G	X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution	2002-01-31	P06897	Histone H2A type 1
1KX4	D	X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution	2002-01-31	P02281	Histone H2B 1.1
1KX4	H	X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution	2002-01-31	P02281	Histone H2B 1.1
1KX4	A	X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution	2002-01-31	P84233	Histone H3.2
1KX4	E	X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution	2002-01-31	P84233	Histone H3.2
1KX4	B	X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution	2002-01-31	P62799	Histone H4
1KX4	F	X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution	2002-01-31	P62799	Histone H4
1KX4	I	X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution	2002-01-31	NA	NA
1KX4	J	X-Ray Structure of the Nucleosome Core Particle, NCP146b, at 2.6 A Resolution	2002-01-31	NA	NA
1KX5	C	X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution	2002-01-31	P06897	Histone H2A type 1
1KX5	G	X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution	2002-01-31	P06897	Histone H2A type 1
1KX5	D	X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution	2002-01-31	P02281	Histone H2B 1.1
1KX5	H	X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution	2002-01-31	P02281	Histone H2B 1.1
1KX5	A	X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution	2002-01-31	P84233	Histone H3.2
1KX5	E	X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution	2002-01-31	P84233	Histone H3.2
1KX5	B	X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution	2002-01-31	P62799	Histone H4
1KX5	F	X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution	2002-01-31	P62799	Histone H4
1KX5	I	X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution	2002-01-31	NA	NA
1KX5	J	X-Ray Structure of the Nucleosome Core Particle, NCP147, at 1.9 A Resolution	2002-01-31	NA	NA
1LR1	A	Solution Structure of the Oligomerization Domain of the Bacterial Chromatin-Structuring Protein H-NS	2002-05-14	P0ACF8	DNA-binding protein H-NS
1LR1	B	Solution Structure of the Oligomerization Domain of the Bacterial Chromatin-Structuring Protein H-NS	2002-05-14	P0ACF8	DNA-binding protein H-NS
1M18	C	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P06897	Histone H2A type 1
1M18	G	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P06897	Histone H2A type 1
1M18	D	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P02281	Histone H2B 1.1
1M18	H	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P02281	Histone H2B 1.1
1M18	A	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P02302	Histone H3.3C
1M18	E	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P02302	Histone H3.3C
1M18	B	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P62799	Histone H4
1M18	F	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P62799	Histone H4
1M18	I	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	NA	NA
1M18	J	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	NA	NA
1M19	C	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P06897	Histone H2A type 1
1M19	G	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P06897	Histone H2A type 1
1M19	D	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P02281	Histone H2B 1.1
1M19	H	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P02281	Histone H2B 1.1
1M19	A	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P02302	Histone H3.3C
1M19	E	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P02302	Histone H3.3C
1M19	B	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P62799	Histone H4
1M19	F	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	P62799	Histone H4
1M19	I	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	NA	NA
1M19	J	LIGAND BINDING ALTERS THE STRUCTURE AND DYNAMICS OF NUCLEOSOMAL DNA	2002-06-18	NA	NA
