Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#63 - p83916	specific	306815	27	70	5.2314e-12	58.8029	pfam00385	Chromo	 - 	cl17459
Q#64 - p83917	specific	307518	118	170	4.71997e-32	112.237	pfam01393	Chromo_shadow	 - 	cl00044
Q#64 - p83917	specific	306815	27	70	5.2314e-12	58.8029	pfam00385	Chromo	 - 	cl17459
Q#65 - q03111	specific	308783	29	109	2.6911e-35	128.385	pfam03366	YEATS	 - 	cl19881
Q#66 - q03164	specific	277163	1871	1983	1.03091e-81	268.792	cd15693	ePHD_KMT2A	 - 	cl22851
Q#66 - q03164	specific	99925	1647	1777	1.46273e-50	179.938	cd05493	Bromo_ALL-1	 - 	cl02556
Q#66 - q03164	specific	214614	3831	3951	3.51536e-44	160.963	smart00317	SET	 - 	cl02566
Q#66 - q03164	specific	277067	1568	1624	1.45619e-37	139.738	cd15592	PHD3_KMT2A	 - 	cl22851
Q#66 - q03164	specific	277063	1433	1479	8.04965e-32	123.14	cd15588	PHD1_KMT2A	 - 	cl22851
Q#66 - q03164	specific	197781	3669	3752	3.27267e-31	122.403	smart00542	FYRC	 - 	cl02651
Q#66 - q03164	specific	277065	1481	1530	6.32877e-31	120.517	cd15590	PHD2_KMT2A	 - 	cl22851
Q#66 - q03164	specific	251032	1147	1194	5.43746e-20	88.9423	pfam02008	zf-CXXC	 - 	cl03401
Q#66 - q03164	specific	310506	2024	2071	5.85215e-16	77.1443	pfam05964	FYRN	 - 	cl02650
Q#66 - q03164	specific	214703	3953	3969	0.00979418	38.5404	smart00508	PostSET	 - 	cl02636
Q#67 - q03330	specific	227408	77	439	6.67026e-110	332.54	COG5076	COG5076	 - 	cl02556
Q#68 - q07794	specific	227419	3	432	7.56547e-176	499.917	COG5087	RTT109	 - 	cl02120
Q#69 - q08649	specific	227360	16	431	0	614.858	COG5027	SAS2	 - 	cl27485
Q#70 - q10103	specific	214605	21	64	4.6412e-12	63.772	smart00298	CHROMO	C	cl17459
Q#70 - q10103	specific	240668	313	373	0.000160006	41.9069	cd00590	RRM_SF	 - 	cl17169
Q#70 - q10103	specific	223796	224	371	0.00653063	39.545	COG0724	RRM	C	cl25887
Q#71 - q12341	specific	313593	11	162	3.93396e-51	170.807	pfam10394	Hat1_N	 - 	cl11056
Q#71 - q12341	specific	306954	177	260	0.00361095	36.7191	pfam00583	Acetyltransf_1	N	cl17182
Q#73 - q12830	specific	99941	2931	3031	2.43184e-55	191.999	cd05509	Bromo_gcn5_like	 - 	cl02556
Q#73 - q12830	specific	277035	2869	2915	7.22621e-32	122.84	cd15560	PHD2_3_BPTF	 - 	cl22851
Q#73 - q12830	specific	277034	392	434	6.71034e-28	111.354	cd15559	PHD1_BPTF	 - 	cl22851
Q#73 - q12830	specific	214726	240	299	7.85886e-19	85.3769	smart00571	DDT	 - 	cl02674
Q#73 - q12830	specific	317927	456	524	1.67016e-14	72.9529	pfam15613	WSD	 - 	cl21412
Q#73 - q12830	superfamily	312941	2131	2506	8.36229e-09	61.1776	cl26621	Med15 superfamily	C	 - 
Q#73 - q12830	specific	317926	344	381	0.00827858	38.2954	pfam15612	WHIM1	 - 	cl21411
Q#74 - q12888	specific	286170	1483	1604	1.33598e-84	275.732	pfam09038	53-BP1_Tudor	 - 	cl02573
Q#74 - q12888	specific	214602	1866	1951	4.95895e-06	47.7554	smart00292	BRCT	 - 	cl00038
Q#74 - q12888	specific	237994	1769	1836	0.00665992	38.0715	cd00027	BRCT	 - 	cl00038
Q#75 - q13185	specific	307518	122	174	1.88312e-29	105.304	pfam01393	Chromo_shadow	 - 	cl00044
Q#75 - q13185	specific	306815	30	79	1.86114e-13	62.6549	pfam00385	Chromo	 - 	cl17459
Q#76 - q14149	specific	311439	409	446	2.4258e-16	76.2137	pfam07496	zf-CW	 - 	cl06504
Q#76 - q14149	superfamily	320747	29	127	5.17154e-14	71.5777	cl00075	HATPase_c superfamily	C	 - 
Q#76 - q14149	superfamily	330553	695	874	1.0656e-06	52.7515	cl25732	SMC_N superfamily	C	 - 
Q#77 - q14676	superfamily	331285	1227	1757	1.43009e-17	89.9976	cl26464	Atrophin-1 superfamily	N	 - 
Q#77 - q14676	specific	306897	55	110	3.67029e-10	59.895	pfam00498	FHA	 - 	cl00062
Q#77 - q14676	superfamily	320726	1882	1968	3.75382e-07	51.7946	cl00038	BRCT superfamily	 - 	 - 
Q#77 - q14676	superfamily	330572	943	1376	8.63706e-07	54.3106	cl25751	DUF4045 superfamily	N	 - 
Q#77 - q14676	superfamily	330553	822	962	0.00295608	42.7475	cl25732	SMC_N superfamily	C	 - 
Q#78 - q14839	superfamily	331286	724	1281	6.53531e-144	476.985	cl26465	SNF2_N superfamily	C	 - 
Q#78 - q14839	specific	311841	1726	1896	1.9354e-113	359.371	pfam08074	CHDCT2	 - 	cl06903
Q#78 - q14839	specific	310809	1385	1521	2.972e-74	246.504	pfam06461	DUF1086	 - 	cl05788
Q#78 - q14839	specific	277006	372	414	1.21024e-28	112.695	cd15531	PHD1_CHD_II	 - 	cl22851
Q#78 - q14839	specific	277007	451	493	3.85461e-28	111.218	cd15532	PHD2_CHD_II	 - 	cl22851
Q#78 - q14839	specific	311840	164	217	4.38416e-25	102.75	pfam08073	CHDNT	 - 	cl06902
Q#78 - q14839	specific	310812	1302	1352	1.1416e-21	92.8245	pfam06465	DUF1087	 - 	cl05792
Q#78 - q14839	specific	214605	622	676	7.15747e-10	58.7644	smart00298	CHROMO	 - 	cl17459
Q#78 - q14839	specific	237991	540	577	2.235e-07	51.4959	cd00024	CHROMO	N	cl17459
Q#78 - q14839	superfamily	330579	1511	1644	2.4035e-05	48.8496	cl25758	DUF4775 superfamily	NC	 - 
Q#79 - q15022	specific	313029	546	680	2.11471e-69	226.388	pfam09733	VEFS-Box	 - 	cl10718
Q#80 - q15047	specific	128744	679	786	3.58032e-28	112.124	smart00468	PreSET	 - 	cl02622
Q#80 - q15047	specific	128673	597	672	1.33557e-26	107.072	smart00391	MBD	 - 	cl00110
Q#80 - q15047	specific	214614	1206	1268	3.49061e-18	83.9231	smart00317	SET	N	cl02566
Q#80 - q15047	specific	214614	803	866	2.57099e-07	51.5663	smart00317	SET	C	cl02566
Q#80 - q15047	specific	197660	348	400	1.1101e-05	45.7277	smart00333	TUDOR	 - 	cl02573
Q#80 - q15047	specific	197660	257	317	2.90435e-05	44.5721	smart00333	TUDOR	 - 	cl02573
Q#81 - q15059	specific	99929	34	140	4.69689e-79	250.802	cd05497	Bromo_Brdt_I_like	 - 	cl02556
Q#81 - q15059	specific	99930	311	412	5.30767e-66	215.605	cd05498	Bromo_Brdt_II_like	 - 	cl02556
Q#81 - q15059	specific	319097	571	635	7.3688e-28	108.714	pfam17035	BET	 - 	cl25276
Q#82 - q15291	specific	225201	38	321	1.28768e-20	94.7703	COG2319	WD40	N	cl25539
Q#83 - q15906	specific	310400	7	216	6.14563e-44	154.081	pfam05764	YL1	 - 	cl25745
Q#83 - q15906	specific	311942	291	319	1.26939e-09	54.2863	pfam08265	YL1_C	 - 	cl02154
Q#84 - q15910	specific	214614	612	733	1.71089e-40	145.94	smart00317	SET	 - 	cl02566
Q#84 - q15910	specific	314486	39	67	3.99206e-12	63.244	pfam11616	EZH2_WD-Binding	 - 	cl13122
Q#85 - q16576	superfamily	330360	122	402	3.61215e-34	130.148	cl25539	WD40 superfamily	 - 	 - 
Q#85 - q16576	specific	315035	18	87	9.40824e-32	116.883	pfam12265	CAF1C_H4-bd	 - 	cl13671
Q#86 - q1hvj0	specific	223058	15	1313	0	1653.22	PHA03366	PHA03366	 - 	cl25431
Q#87 - q24572	superfamily	330360	127	408	2.29521e-37	139.392	cl25539	WD40 superfamily	 - 	 - 
Q#87 - q24572	specific	315035	23	92	1.23198e-34	124.972	pfam12265	CAF1C_H4-bd	 - 	cl13671
Q#88 - q27198	specific	99941	291	387	3.32882e-45	151.553	cd05509	Bromo_gcn5_like	 - 	cl02556
Q#88 - q27198	specific	306954	66	174	4.33265e-13	65.2238	pfam00583	Acetyltransf_1	 - 	cl17182
Q#89 - q2lae1	specific	214614	1026	1146	6.86669e-43	155.955	smart00317	SET	 - 	cl02566
Q#89 - q2lae1	specific	197795	975	1025	1.27673e-18	83.603	smart00570	AWS	 - 	cl02673
Q#89 - q2lae1	specific	311439	864	910	4.40911e-13	67.7393	pfam07496	zf-CW	 - 	cl06504
Q#90 - q49a26	specific	224995	268	551	2.94759e-83	264.45	COG2084	MmsB	 - 	cl25951
Q#90 - q49a26	specific	99897	6	90	4.22882e-50	169.557	cd05836	N_Pac_NP60	 - 	cl02554
Q#90 - q49a26	superfamily	317743	110	173	0.00212849	40.9591	cl21214	DUF4603 superfamily	C	 - 
Q#90 - q49a26	superfamily	330244	210	302	0.00346426	39.5567	cl25423	NAD_bind_amino_acid_DH superfamily	NC	 - 
Q#91 - q4v3e2	specific	310371	146	315	5.11779e-46	156.996	pfam05712	MRG	 - 	cl05332
Q#91 - q4v3e2	specific	314560	52	101	4.09384e-12	61.4326	pfam11717	Tudor-knot	 - 	cl17459
Q#92 - q504y3	specific	311439	30	77	2.6145e-12	61.9613	pfam07496	zf-CW	 - 	cl06504
Q#92 - q504y3	superfamily	321985	97	160	3.23979e-09	54.6998	cl02554	PWWP superfamily	C	 - 
Q#93 - q56a73	specific	308232	119	167	2.85951e-21	85.3653	pfam02513	Spin-Ssty	 - 	cl03632
Q#93 - q56a73	specific	308232	41	89	9.4516e-21	83.8245	pfam02513	Spin-Ssty	 - 	cl03632
Q#93 - q56a73	specific	308232	201	245	2.67832e-14	65.7201	pfam02513	Spin-Ssty	 - 	cl03632
Q#94 - q582g4	superfamily	332914	99	152	2.69368e-11	63.0337	cl28093	HemK superfamily	C	 - 
Q#94 - q582g4	superfamily	331881	87	202	2.09448e-10	61.1171	cl27060	PrmA superfamily	N	 - 
Q#95 - q5ncy0	specific	202224	1375	1483	8.71168e-37	137.812	pfam02373	JmjC	 - 	cl21464
Q#95 - q5ncy0	specific	214721	1341	1405	4.76689e-07	50.3284	smart00558	JmjC	 - 	cl21464
Q#96 - q5nvk7	specific	239743	28	166	4.69131e-92	275.965	cd03774	MATH_SPOP	 - 	cl02446
Q#96 - q5nvk7	specific	306997	190	297	2.55269e-36	130.078	pfam00651	BTB	 - 	cl02518
Q#96 - q5nvk7	specific	269807	297	359	1.71966e-25	98.7489	cd14734	SPOP_C	 - 	cl06652
Q#97 - q5t6s3	specific	277056	197	248	2.10324e-35	128.099	cd15581	PHD2_PHF19	 - 	cl22851
Q#97 - q5t6s3	specific	277054	98	150	5.59191e-32	118.829	cd15579	PHD1_PHF19	 - 	cl22851
Q#97 - q5t6s3	superfamily	316574	531	577	3.55496e-26	102.446	cl16580	Mtf2_C superfamily	 - 	 - 
Q#97 - q5t6s3	specific	197660	38	87	2.38297e-06	46.4981	smart00333	TUDOR	 - 	cl02573
Q#98 - q5vwg9	specific	276997	867	912	1.4697e-29	113.921	cd15522	PHD_TAF3	 - 	cl22851
