structureId,chainId,compound,source,uniprotAcc,uniprotRecommendedName
"3J9P","C","Maltose-binding periplasmic protein, Transient receptor potential cation channel subfamily A member 1 chimera","Escherichia coli,Homo sapiens","O75762#P0AEX9","O75762:#Transient receptor potential cation channel subfamily A member 1#P0AEX9:#Maltose/maltodextrin-binding periplasmic protein"
"3J9P","D","Maltose-binding periplasmic protein, Transient receptor potential cation channel subfamily A member 1 chimera","Escherichia coli,Homo sapiens","O75762#P0AEX9","O75762:#Transient receptor potential cation channel subfamily A member 1#P0AEX9:#Maltose/maltodextrin-binding periplasmic protein"
"3KZA","A","Beta-lactoglobulin","Equus caballus,Bos taurus","P02754#P02758","P02754:#Beta-lactoglobulin#P02758:#Beta-lactoglobulin-1"
"3KZA","B","Beta-lactoglobulin","Equus caballus,Bos taurus","P02754#P02758","P02754:#Beta-lactoglobulin#P02758:#Beta-lactoglobulin-1"
"3LRA","A","Disks large homolog 1, MAGUK p55 subfamily member 7, Protein lin-7 homolog C","Homo sapiens","Q12959#Q5T2T1#Q9NUP9","Q12959:#Disks large homolog 1#Q5T2T1:#MAGUK p55 subfamily member 7#Q9NUP9:#Protein lin-7 homolog C"
"3MP1","A","Maltose-binding periplasmic protein,LINKER,SAGA-associated factor 29","Escherichia coli,Saccharomyces cerevisiae,unidentified","P0AEX9#P25554","P0AEX9:#Maltose/maltodextrin-binding periplasmic protein#P25554:#SAGA-associated factor 29"
"3MP1","P","H3K4me3 peptide","synthetic construct","P68431","Histone H3.1"
"3MP6","A","Maltose-binding periplasmic protein,LINKER,SAGA-associated factor 29","Escherichia coli,Saccharomyces cerevisiae,unidentified","P0AEX9#P25554","P0AEX9:#Maltose/maltodextrin-binding periplasmic protein#P25554:#SAGA-associated factor 29"
"3MP6","P","H3K4me2 peptide","synthetic construct","P68431","Histone H3.1"
"3MP8","A","Maltose-binding periplasmic protein,LINKER,SAGA-associated factor 29","Escherichia coli,Saccharomyces cerevisiae,unidentified","P0AEX9#P25554","P0AEX9:#Maltose/maltodextrin-binding periplasmic protein#P25554:#SAGA-associated factor 29"
"3MTU","A","Tropomyosin alpha-1 chain,Microtubule-associated protein RP/EB family member 1","Gallus gallus,Homo sapiens","P04268#Q15691","P04268:#Tropomyosin alpha-1 chain#Q15691:#Microtubule-associated protein RP/EB family member 1"
"3MTU","B","Tropomyosin alpha-1 chain,Microtubule-associated protein RP/EB family member 1","Gallus gallus,Homo sapiens","P04268#Q15691","P04268:#Tropomyosin alpha-1 chain#Q15691:#Microtubule-associated protein RP/EB family member 1"
"3MTU","C","Tropomyosin alpha-1 chain,Microtubule-associated protein RP/EB family member 1","Gallus gallus,Homo sapiens","P04268#Q15691","P04268:#Tropomyosin alpha-1 chain#Q15691:#Microtubule-associated protein RP/EB family member 1"
"3MTU","D","Tropomyosin alpha-1 chain,Microtubule-associated protein RP/EB family member 1","Gallus gallus,Homo sapiens","P04268#Q15691","P04268:#Tropomyosin alpha-1 chain#Q15691:#Microtubule-associated protein RP/EB family member 1"
"3MTU","E","Capsid assembly scaffolding protein,Tropomyosin alpha-1 chain","Gallus gallus,Bacillus virus phi29","P04268#P13848","P04268:#Tropomyosin alpha-1 chain#P13848:#Capsid assembly scaffolding protein"
"3MTU","F","Capsid assembly scaffolding protein,Tropomyosin alpha-1 chain","Gallus gallus,Bacillus virus phi29","P04268#P13848","P04268:#Tropomyosin alpha-1 chain#P13848:#Capsid assembly scaffolding protein"
"3MUD","A","DNA repair protein XRCC4,Tropomyosin alpha-1 chain","Gallus gallus,Homo sapiens","P04268#Q13426","P04268:#Tropomyosin alpha-1 chain#Q13426:#DNA repair protein XRCC4"
"3MUD","B","DNA repair protein XRCC4,Tropomyosin alpha-1 chain","Gallus gallus,Homo sapiens","P04268#Q13426","P04268:#Tropomyosin alpha-1 chain#Q13426:#DNA repair protein XRCC4"
"3MUD","C","Tropomyosin alpha-1 chain,Microtubule-associated protein RP/EB family member 1","Homo sapiens","P09493#Q15691","P09493:#Tropomyosin alpha-1 chain#Q15691:#Microtubule-associated protein RP/EB family member 1"
"3MUD","D","Tropomyosin alpha-1 chain,Microtubule-associated protein RP/EB family member 1","Homo sapiens","P09493#Q15691","P09493:#Tropomyosin alpha-1 chain#Q15691:#Microtubule-associated protein RP/EB family member 1"
"3PBL","A","D(3) dopamine receptor, Lysozyme chimera","Homo sapiens,Escherichia virus T4","P00720#P35462","P00720:#Endolysin#P35462:#D(3) dopamine receptor"
"3PBL","B","D(3) dopamine receptor, Lysozyme chimera","Homo sapiens,Escherichia virus T4","P00720#P35462","P00720:#Endolysin#P35462:#D(3) dopamine receptor"
"3QE1","A","Sorting nexin-27, G protein-activated inward rectifier potassium channel 3 chimera","Rattus norvegicus","Q63511#Q8K4V4","Q63511:#G protein-activated inward rectifier potassium channel 3#Q8K4V4:#Sorting nexin-27"
"3REZ","A","Platelet glycoprotein Ib beta chain, Platelet glycoprotein IX","Homo sapiens","P13224#P14770","P13224:#Platelet glycoprotein Ib beta chain#P14770:#Platelet glycoprotein IX"
"3REZ","B","Platelet glycoprotein Ib beta chain, Platelet glycoprotein IX","Homo sapiens","P13224#P14770","P13224:#Platelet glycoprotein Ib beta chain#P14770:#Platelet glycoprotein IX"
"3REZ","C","Platelet glycoprotein Ib beta chain, Platelet glycoprotein IX","Homo sapiens","P13224#P14770","P13224:#Platelet glycoprotein Ib beta chain#P14770:#Platelet glycoprotein IX"
"3REZ","D","Platelet glycoprotein Ib beta chain, Platelet glycoprotein IX","Homo sapiens","P13224#P14770","P13224:#Platelet glycoprotein Ib beta chain#P14770:#Platelet glycoprotein IX"
"3RZE","A","Histamine H1 receptor, Lysozyme chimera","Homo sapiens,Escherichia virus T4","P00720#P35367","P00720:#Endolysin#P35367:#Histamine H1 receptor"
"3T92","A","HISTONE ACETYLTRANSFERASE P300 TAZ2-CCAAT/ENHANCER-BINDING PROTEIN EPSILON","Homo sapiens","Q09472#Q15744","Q09472:#Histone acetyltransferase p300#Q15744:#CCAAT/enhancer-binding protein epsilon"
"3TIX","A","Ubiquitin-like protein SMT3,RNA-induced transcriptional silencing complex protein tas3","Schizosaccharomyces pombe,Saccharomyces cerevisiae","O94687#Q12306","O94687:#RNA-induced transcriptional silencing complex protein tas3#Q12306:#Ubiquitin-like protein SMT3"
"3TIX","B","Chromo domain-containing protein 1","Schizosaccharomyces pombe","Q10103","Chromo domain-containing protein 1"
"3TIX","C","Ubiquitin-like protein SMT3,RNA-induced transcriptional silencing complex protein tas3","Schizosaccharomyces pombe,Saccharomyces cerevisiae","O94687#Q12306","O94687:#RNA-induced transcriptional silencing complex protein tas3#Q12306:#Ubiquitin-like protein SMT3"
"3TIX","D","Chromo domain-containing protein 1","Schizosaccharomyces pombe","Q10103","Chromo domain-containing protein 1"
"3UIT","A","InaD-like protein, MAGUK p55 subfamily member 5, Protein lin-7 homolog B","Homo sapiens,Mus musculus,Rattus norvegicus","Q63ZW7#Q8N3R9#Q9Z252","Q63ZW7:#InaD-like protein#Q8N3R9:#MAGUK p55 subfamily member 5#Q9Z252:#Protein lin-7 homolog B"
"3UIT","B","InaD-like protein, MAGUK p55 subfamily member 5, Protein lin-7 homolog B","Homo sapiens,Mus musculus,Rattus norvegicus","Q63ZW7#Q8N3R9#Q9Z252","Q63ZW7:#InaD-like protein#Q8N3R9:#MAGUK p55 subfamily member 5#Q9Z252:#Protein lin-7 homolog B"
"3UIT","C","InaD-like protein, MAGUK p55 subfamily member 5, Protein lin-7 homolog B","Homo sapiens,Mus musculus,Rattus norvegicus","Q63ZW7#Q8N3R9#Q9Z252","Q63ZW7:#InaD-like protein#Q8N3R9:#MAGUK p55 subfamily member 5#Q9Z252:#Protein lin-7 homolog B"
"3UIT","D","InaD-like protein, MAGUK p55 subfamily member 5, Protein lin-7 homolog B","Homo sapiens,Mus musculus,Rattus norvegicus","Q63ZW7#Q8N3R9#Q9Z252","Q63ZW7:#InaD-like protein#Q8N3R9:#MAGUK p55 subfamily member 5#Q9Z252:#Protein lin-7 homolog B"
"3VAW","A","Ubiquitin-like protein SMT3,Peptidyl-prolyl cis-trans isomerase","Saccharomyces cerevisiae,Burkholderia pseudomallei","Q12306#Q3JK38","Q12306:#Ubiquitin-like protein SMT3#Q3JK38:#Peptidyl-prolyl cis-trans isomerase"
"4DDG","A","Ubiquitin-conjugating enzyme E2 D2, Ubiquitin thioesterase OTUB1","Homo sapiens","P62837#Q96FW1","P62837:#Ubiquitin-conjugating enzyme E2 D2#Q96FW1:#Ubiquitin thioesterase OTUB1"
"4DDG","B","Ubiquitin-conjugating enzyme E2 D2, Ubiquitin thioesterase OTUB1","Homo sapiens","P62837#Q96FW1","P62837:#Ubiquitin-conjugating enzyme E2 D2#Q96FW1:#Ubiquitin thioesterase OTUB1"
"4DDG","C","Ubiquitin-conjugating enzyme E2 D2, Ubiquitin thioesterase OTUB1","Homo sapiens","P62837#Q96FW1","P62837:#Ubiquitin-conjugating enzyme E2 D2#Q96FW1:#Ubiquitin thioesterase OTUB1"
"4DDG","D","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDG","E","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDG","F","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDG","G","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDG","H","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDG","I","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDG","J","Ubiquitin-conjugating enzyme E2 D2, Ubiquitin thioesterase OTUB1","Homo sapiens","P62837#Q96FW1","P62837:#Ubiquitin-conjugating enzyme E2 D2#Q96FW1:#Ubiquitin thioesterase OTUB1"
"4DDG","K","Ubiquitin-conjugating enzyme E2 D2, Ubiquitin thioesterase OTUB1","Homo sapiens","P62837#Q96FW1","P62837:#Ubiquitin-conjugating enzyme E2 D2#Q96FW1:#Ubiquitin thioesterase OTUB1"
"4DDG","L","Ubiquitin-conjugating enzyme E2 D2, Ubiquitin thioesterase OTUB1","Homo sapiens","P62837#Q96FW1","P62837:#Ubiquitin-conjugating enzyme E2 D2#Q96FW1:#Ubiquitin thioesterase OTUB1"
"4DDG","M","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDG","N","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDG","O","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDG","P","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDG","Q","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDG","R","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDI","A","Ubiquitin-conjugating enzyme E2 D2, Ubiquitin thioesterase OTUB1","Homo sapiens","P62837#Q96FW1","P62837:#Ubiquitin-conjugating enzyme E2 D2#Q96FW1:#Ubiquitin thioesterase OTUB1"
"4DDI","B","Ubiquitin-conjugating enzyme E2 D2, Ubiquitin thioesterase OTUB1","Homo sapiens","P62837#Q96FW1","P62837:#Ubiquitin-conjugating enzyme E2 D2#Q96FW1:#Ubiquitin thioesterase OTUB1"
"4DDI","C","Ubiquitin-conjugating enzyme E2 D2, Ubiquitin thioesterase OTUB1","Homo sapiens","P62837#Q96FW1","P62837:#Ubiquitin-conjugating enzyme E2 D2#Q96FW1:#Ubiquitin thioesterase OTUB1"
"4DDI","D","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDI","E","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDI","F","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDI","G","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDI","H","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4DDI","I","Polyubiquitin-C","Homo sapiens","P0CG48","Polyubiquitin-C"
"4GTW","A","Ectonucleotide pyrophosphatase/phosphodiesterase family member 2, Alkaline phosphodiesterase I","Mus musculus","P06802#Q9R1E6","P06802:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 1#Q9R1E6:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 2"
"4GTW","B","Ectonucleotide pyrophosphatase/phosphodiesterase family member 2, Alkaline phosphodiesterase I","Mus musculus","P06802#Q9R1E6","P06802:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 1#Q9R1E6:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 2"
"4GTX","A","Ectonucleotide pyrophosphatase/phosphodiesterase family member 2, Alkaline phosphodiesterase I","Mus musculus","P06802#Q9R1E6","P06802:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 1#Q9R1E6:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 2"
"4GTX","B","Ectonucleotide pyrophosphatase/phosphodiesterase family member 2, Alkaline phosphodiesterase I","Mus musculus","P06802#Q9R1E6","P06802:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 1#Q9R1E6:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 2"
"4GTY","A","Ectonucleotide pyrophosphatase/phosphodiesterase family member 2, Alkaline phosphodiesterase I","Mus musculus","P06802#Q9R1E6","P06802:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 1#Q9R1E6:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 2"
"4GTY","B","Ectonucleotide pyrophosphatase/phosphodiesterase family member 2, Alkaline phosphodiesterase I","Mus musculus","P06802#Q9R1E6","P06802:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 1#Q9R1E6:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 2"
"4GTZ","A","Ectonucleotide pyrophosphatase/phosphodiesterase family member 2, Alkaline phosphodiesterase I","Mus musculus","P06802#Q9R1E6","P06802:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 1#Q9R1E6:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 2"
"4GTZ","B","Ectonucleotide pyrophosphatase/phosphodiesterase family member 2, Alkaline phosphodiesterase I","Mus musculus","P06802#Q9R1E6","P06802:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 1#Q9R1E6:#Ectonucleotide pyrophosphatase/phosphodiesterase family member 2"
"4HRH","A","Protein S100-A10, Annexin A2","Homo sapiens","P07355#P60903","P07355:#Annexin A2#P60903:#Protein S100-A10"
"4HRH","B","Protein S100-A10, Annexin A2","Homo sapiens","P07355#P60903","P07355:#Annexin A2#P60903:#Protein S100-A10"
"4HRH","C","Helicase-like transcription factor","Homo sapiens","Q14527","Helicase-like transcription factor"
"4HRH","D","Helicase-like transcription factor","Homo sapiens","Q14527","Helicase-like transcription factor"
"4IAQ","A","Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562","Escherichia coli,Homo sapiens","P0ABE7#P28222","P0ABE7:#Soluble cytochrome b562#P28222:#5-hydroxytryptamine receptor 1B"
"4IAR","A","Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562","Escherichia coli,Homo sapiens","P0ABE7#P28222","P0ABE7:#Soluble cytochrome b562#P28222:#5-hydroxytryptamine receptor 1B"
"4ID4","A","Beta-lactamase TEM, Beta-lactamase PSE-4","Pseudomonas aeruginosa,Escherichia coli","P16897#P62593","P16897:#Beta-lactamase PSE-4#P62593:#Beta-lactamase TEM"
"4J5X","A","Nuclear receptor subfamily 1 group I member 2, Nuclear receptor coactivator 1","Homo sapiens","O75469#Q15788","O75469:#Nuclear receptor subfamily 1 group I member 2#Q15788:#Nuclear receptor coactivator 1"
"4J5X","B","Nuclear receptor subfamily 1 group I member 2, Nuclear receptor coactivator 1","Homo sapiens","O75469#Q15788","O75469:#Nuclear receptor subfamily 1 group I member 2#Q15788:#Nuclear receptor coactivator 1"
"4J5X","C","Retinoic acid receptor RXR-alpha, Nuclear receptor coactivator 1","Homo sapiens","P19793#Q15788","P19793:#Retinoic acid receptor RXR-alpha#Q15788:#Nuclear receptor coactivator 1"
"4J5X","D","Retinoic acid receptor RXR-alpha, Nuclear receptor coactivator 1","Homo sapiens","P19793#Q15788","P19793:#Retinoic acid receptor RXR-alpha#Q15788:#Nuclear receptor coactivator 1"
"4JTA","A","Voltage-gated potassium channel subunit beta-2","Rattus norvegicus","P62483","Voltage-gated potassium channel subunit beta-2"
"4JTA","B","Potassium voltage-gated channel subfamily A member 2, Potassium voltage-gated channel subfamily B member 1","Rattus norvegicus","P15387#P63142","P15387:#Potassium voltage-gated channel subfamily B member 1#P63142:#Potassium voltage-gated channel subfamily A member 2"
"4JTA","P","Voltage-gated potassium channel subunit beta-2","Rattus norvegicus","P62483","Voltage-gated potassium channel subunit beta-2"
"4JTA","Q","Potassium voltage-gated channel subfamily A member 2, Potassium voltage-gated channel subfamily B member 1","Rattus norvegicus","P15387#P63142","P15387:#Potassium voltage-gated channel subfamily B member 1#P63142:#Potassium voltage-gated channel subfamily A member 2"
"4JTA","Y","Potassium channel toxin alpha-KTx 1.1","Leiurus quinquestriatus","P13487","Potassium channel toxin alpha-KTx 1.1"
"4JTC","A","Voltage-gated potassium channel subunit beta-2","Rattus norvegicus","P62483","Voltage-gated potassium channel subunit beta-2"
"4JTC","B","Potassium voltage-gated channel subfamily A member 2, Potassium voltage-gated channel subfamily B member 1","Rattus norvegicus","P15387#P63142","P15387:#Potassium voltage-gated channel subfamily B member 1#P63142:#Potassium voltage-gated channel subfamily A member 2"
"4JTC","G","Voltage-gated potassium channel subunit beta-2","Rattus norvegicus","P62483","Voltage-gated potassium channel subunit beta-2"
"4JTC","H","Potassium voltage-gated channel subfamily A member 2, Potassium voltage-gated channel subfamily B member 1","Rattus norvegicus","P15387#P63142","P15387:#Potassium voltage-gated channel subfamily B member 1#P63142:#Potassium voltage-gated channel subfamily A member 2"
"4JTC","Y","Potassium channel toxin alpha-KTx 1.1","Leiurus quinquestriatus","P13487","Potassium channel toxin alpha-KTx 1.1"
"4JTD","A","Voltage-gated potassium channel subunit beta-2","Rattus norvegicus","P62483","Voltage-gated potassium channel subunit beta-2"
"4JTD","B","Potassium voltage-gated channel subfamily A member 2, Potassium voltage-gated channel subfamily B member 1","Rattus norvegicus","P15387#P63142","P15387:#Potassium voltage-gated channel subfamily B member 1#P63142:#Potassium voltage-gated channel subfamily A member 2"
"4JTD","G","Voltage-gated potassium channel subunit beta-2","Rattus norvegicus","P62483","Voltage-gated potassium channel subunit beta-2"
"4JTD","H","Potassium voltage-gated channel subfamily A member 2, Potassium voltage-gated channel subfamily B member 1","Rattus norvegicus","P15387#P63142","P15387:#Potassium voltage-gated channel subfamily B member 1#P63142:#Potassium voltage-gated channel subfamily A member 2"
"4JTD","Y","Potassium channel toxin alpha-KTx 1.1","Leiurus quinquestriatus","P13487","Potassium channel toxin alpha-KTx 1.1"
"4KHA","A","Spt16M-Histone H2B 1.1 chimera","Xenopus laevis,Chaetomium thermophilum","G0SDN1#P02281","null#P02281:#Histone H2B 1.1"
"4KHA","B","Histone H2A","Xenopus laevis","Q6AZJ8","Histone H2A"
"4LDT","A","Ubiquitin thioesterase otubain-like","Caenorhabditis elegans,Homo sapiens","Q96FW1#Q9XVR6","Q96FW1:#Ubiquitin thioesterase OTUB1#Q9XVR6:#Ubiquitin thioesterase otubain-like"
"4LDT","B","Ubiquitin aldehyde","Homo sapiens","P0CG48","Polyubiquitin-C"
"4LDT","C","Ubiquitin-conjugating enzyme E2 D2","Homo sapiens","P62837","Ubiquitin-conjugating enzyme E2 D2"
"4LDT","D","Ubiquitin","Homo sapiens","P0CG48","Polyubiquitin-C"
"4LOG","A","Maltose ABC transporter periplasmic protein and NR2E3 protein chimeric construct","Escherichia coli,Homo sapiens","P0AEX9#Q9Y5X4","P0AEX9:#Maltose/maltodextrin-binding periplasmic protein#Q9Y5X4:#Photoreceptor-specific nuclear receptor"
"4LOG","B","Maltose ABC transporter periplasmic protein and NR2E3 protein chimeric construct","Escherichia coli,Homo sapiens","P0AEX9#Q9Y5X4","P0AEX9:#Maltose/maltodextrin-binding periplasmic protein#Q9Y5X4:#Photoreceptor-specific nuclear receptor"
"4M6B","A","Chimera protein of Histone H2B.1 and Histone H2A.Z","Saccharomyces cerevisiae","P02293#Q12692","P02293:#Histone H2B.1#Q12692:#Histone H2A.Z"
"4M6B","C","Helicase SWR1","Saccharomyces cerevisiae","Q05471","Helicase SWR1"
"4M6B","D","Chimera protein of Histone H2B.1 and Histone H2A.Z","Saccharomyces cerevisiae","P02293#Q12692","P02293:#Histone H2B.1#Q12692:#Histone H2A.Z"
"4M6B","F","Helicase SWR1","Saccharomyces cerevisiae","Q05471","Helicase SWR1"
"4M6T","A","RNA polymerase II-associated factor 1 homolog, Linker, RNA polymerase-associated protein LEO1","Homo sapiens","Q8N7H5#Q8WVC0","Q8N7H5:#RNA polymerase II-associated factor 1 homolog#Q8WVC0:#RNA polymerase-associated protein LEO1"
